取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.1609
6.50,0.0979
7.50,0.0647
8.50,0.0448
9.50,0.0337
10.50,0.0255
11.50,0.0193
12.50,0.0161
13.50,0.0146
14.50,0.0126
15.50,0.0110
16.50,0.0107
17.50,0.0099
18.50,0.0097
19.50,0.0094
20.50,0.0089
21.50,0.0086
22.50,0.0089
23.50,0.0091
24.50,0.0087
25.50,0.0089
26.50,0.0087
27.50,0.0094
28.50,0.0086
29.50,0.0088
30.50,0.0089
31.50,0.0080
32.50,0.0086
33.50,0.0083
34.50,0.0075
35.50,0.0073
36.50,0.0074
37.50,0.0077
38.50,0.0073
39.50,0.0070
40.50,0.0072
41.50,0.0064
42.50,0.0064
43.50,0.0072
44.50,0.0067
45.50,0.0065
46.50,0.0070
47.50,0.0066
48.50,0.0064
49.50,0.0063
50.50,0.0064
51.50,0.0061
52.50,0.0063
53.50,0.0062
54.50,0.0061
55.50,0.0059
56.50,0.0060
57.50,0.0064
58.50,0.0061
59.50,0.0062
60.50,0.0059
61.50,0.0055
62.50,0.0055
63.50,0.0058
64.50,0.0057
65.50,0.0057
66.50,0.0054
67.50,0.0058
68.50,0.0055
69.50,0.0055
70.50,0.0056
71.50,0.0057
72.50,0.0052
73.50,0.0047
74.50,0.0054
75.50,0.0055
76.50,0.0054
77.50,0.0052
78.50,0.0050
79.50,0.0049
80.50,0.0051
81.50,0.0049
82.50,0.0054
83.50,0.0051
84.50,0.0051
85.50,0.0052
86.50,0.0046
87.50,0.0053
88.50,0.0046
89.50,0.0046
