取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.0342
6.50,0.0182
7.50,0.0117
8.50,0.0081
9.50,0.0066
10.50,0.0064
11.50,0.0063
12.50,0.0063
13.50,0.0067
14.50,0.0077
15.50,0.0078
16.50,0.0073
17.50,0.0076
18.50,0.0078
19.50,0.0078
20.50,0.0085
21.50,0.0099
22.50,0.0107
23.50,0.0103
24.50,0.0126
25.50,0.0129
26.50,0.0135
27.50,0.0143
28.50,0.0133
29.50,0.0133
30.50,0.0135
31.50,0.0141
32.50,0.0133
33.50,0.0145
34.50,0.0146
35.50,0.0148
36.50,0.0141
37.50,0.0139
38.50,0.0138
39.50,0.0144
40.50,0.0143
41.50,0.0141
42.50,0.0132
43.50,0.0116
44.50,0.0111
45.50,0.0120
46.50,0.0120
47.50,0.0117
48.50,0.0119
49.50,0.0110
50.50,0.0115
51.50,0.0106
52.50,0.0113
53.50,0.0122
54.50,0.0118
55.50,0.0110
56.50,0.0118
57.50,0.0128
58.50,0.0124
59.50,0.0124
60.50,0.0133
61.50,0.0125
62.50,0.0135
63.50,0.0124
64.50,0.0128
65.50,0.0116
66.50,0.0117
67.50,0.0120
68.50,0.0121
69.50,0.0112
70.50,0.0113
71.50,0.0112
72.50,0.0103
73.50,0.0109
74.50,0.0112
75.50,0.0100
76.50,0.0104
77.50,0.0088
78.50,0.0095
79.50,0.0095
80.50,0.0099
81.50,0.0101
82.50,0.0105
83.50,0.0114
84.50,0.0115
85.50,0.0113
86.50,0.0110
87.50,0.0106
88.50,0.0113
89.50,0.0113
