include_in_final_average,exclude_reason,sample,diameter_mm,cold_reduction_percent_reference,repeat,first_engineering_strain,first_engineering_stress_MPa,Rp0.2_MPa,strain_at_Rp0.2_percent,yield_status,elastic_modulus_GPa,elastic_fit_range_MPa,UTS_engineering_MPa,uniform_elongation_percent,fracture_strain_from_curve_percent,max_true_stress_MPa,true_strain_at_max_true_stress_percent
yes,,7 M-1,7,0,1,4.6e-07,10.017757,577.20662,0.84789665,ok,104.43851,230-380,711.6551,29.00394,44.7368,971.58248,33.509529
yes,,7 M-2,7,0,2,1.94e-06,146.71104,584.20657,0.60776501,ok,105.01,280-430,710.68838,26.4603,-0.70975,951.55011,31.818941
yes,,6.48 Y-1,6.48,14.305306,1,1e-07,41.261289,821.16572,0.91841303,ok,106.40322,130-280,869.14239,1.4521,14.514944,904.07476,8.9597749
yes,,6.48 Y-2,6.48,14.305306,2,7.6e-07,89.865023,826.23731,0.91522325,ok,103.04433,105-255,874.55157,1.43078,14.161774,904.51579,8.2295989
yes,,6.02 Y-1,6.02,26.04,1,2e-07,331.60269,886.08747,0.67948065,ok,114.94023,305-455,944.74667,1.26063,10.886472,962.5352,5.4333173
no,excluded_by_user: abnormal starting point / 6.02-2,6.02 Y-2,6.02,26.04,2,1.04e-06,815.51531,,,excluded_by_user,,,937.51952,0.779726,10.180654,949.13452,4.8492158
yes,,5.6 Y-1,5.6,36,1,6e-07,49.576459,881.5764,1.034008,ok,99.629116,30-180,979.15412,1.747484,12.628946,1012.2562,8.2134911
yes,,5.6 Y-2,5.6,36,2,1.38e-06,3.3192236,862.4043,1.0027969,ok,105.84928,55-205,981.19358,1.743172,9.673504,1002.0892,4.601187
yes,,5.25 Y-1,5.25,43.75,1,1.78e-06,234.44607,954.7253,0.82567845,ok,106.7575,280-430,1023.1307,1.349048,8.97151,1037.1932,1.4075454
yes,,5.25 Y-2,5.25,43.75,2,5e-07,137.68697,937.35491,0.95760547,ok,105.21555,155-305,1024.2341,1.531916,8.968844,1040.354,1.6325235
yes,,5 Y-1,5,48.979592,1,1.6e-07,48.813967,904.01795,1.0119594,ok,104.79906,55-205,1022.0986,1.714384,9.156606,1041.2027,4.1263299
yes,,5 Y-2,5,48.979592,2,7e-07,5.7276887,914.11093,1.0651114,ok,105.54946,30-180,1035.7642,1.706426,11.291096,1060.0361,6.6357017
