ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
52443,8997,36,1377.615,1.19726,5e-06,-1.530765,0,0,0,0,0,0,0,0,0,0,0,1e-07,41.2612888944901,9.99999950583871e-08,41.261293020619
52444,8997,36.06667,1381.275,1.19948,4.1e-05,-1.533404,0,0,0,0,0,0,0,0,0,0,0,8.2e-07,41.3709104631822,8.19999663701639e-07,41.3709443873288
52445,8997,36.13334,1384.91,1.20168,4.6e-05,-1.528167,0,0,0,0,0,0,0,0,0,0,0,9.2e-07,41.4797832506675,9.19999576760102e-07,41.4798214120681
52446,8997,36.2,1388.565,1.20394,8.7e-05,-1.526936,0,0,0,0,0,0,0,0,0,0,0,1.74e-06,41.5892550631182,1.7399984862851e-06,41.5893274284221
52447,8997,36.26667,1392.22,1.20616,0.000107,-1.531261,0,0,0,0,0,0,0,0,0,0,0,2.14e-06,41.698726875569,2.13999771029811e-06,41.6988161108445
52448,8997,36.33333,1395.86,1.20832,0.000123,-1.526738,0,0,0,0,0,0,0,0,0,0,0,2.46e-06,41.8077494192956,2.45999697413137e-06,41.8078522663592
52449,8997,36.4,1399.445,1.21062,0.000153,-1.516941,0,0,0,0,0,0,0,0,0,0,0,3.06e-06,41.915124644367,3.05999531826424e-06,41.9152529046484
52450,8997,36.46667,1403.135,1.21286,0.000184,-1.517828,0,0,0,0,0,0,0,0,0,0,0,3.68e-06,42.0256447505075,3.67999322887802e-06,42.0257994048802
52451,8997,36.53333,1406.95,1.21498,0.000217,-1.519034,0,0,0,0,0,0,0,0,0,0,0,4.34e-06,42.1399087626825,4.33999058227433e-06,42.1400916498865
52452,8997,36.6,1410.255,1.21726,0.000253,-1.515155,0,0,0,0,0,0,0,0,0,0,0,5.06e-06,42.2388976382365,5.05998719813334e-06,42.2391113670585
52453,8997,36.66667,1413.745,1.21956,0.000317,-1.516804,0,0,0,0,0,0,0,0,0,0,0,6.34e-06,42.3434274947216,6.33997990238954e-06,42.3436959520519
52454,8997,36.73333,1417.895,1.2217,0.000322,-1.519686,0,0,0,0,0,0,0,0,0,0,0,6.44e-06,42.4677251750692,6.43997926322997e-06,42.4679986672194
52455,8997,36.8,1421.405,1.2239,0.00034,-1.514006,0,0,0,0,0,0,0,0,0,0,0,6.8e-06,42.5728540565199,6.7999768800783e-06,42.5731435519275
52456,8997,36.86666,1424.715,1.22618,0.000389,-1.519226,0,0,0,0,0,0,0,0,0,0,0,7.78e-06,42.6719926883153,7.77996973596975e-06,42.6723246764184
52457,8997,36.93333,1428.64,1.22836,0.00044,-1.51044,0,0,0,0,0,0,0,0,0,0,0,8.8e-06,42.7895513378007,8.79996128025816e-06,42.7899278858525
52458,8997,37,1432.28,1.23056,0.000463,-1.517667,0,0,0,0,0,0,0,0,0,0,0,9.26e-06,42.8985738815273,9.25995712636458e-06,42.8989711223215
52459,8997,37.06667,1435.62,1.23288,0.000484,-1.520659,0,0,0,0,0,0,0,0,0,0,0,9.68e-06,42.998611050771,9.67995314911425e-06,42.999027277326
52460,8997,37.13334,1439.52,1.23506,0.000496,-1.52433,0,0,0,0,0,0,0,0,0,0,0,9.92e-06,43.1154209190495,9.91995079723301e-06,43.115848624025
52461,8997,37.2,1443.145,1.23724,0.000537,-1.524614,0,0,0,0,0,0,0,0,0,0,0,1.074e-05,43.223994194052,1.0739942326622e-05,43.2244584197496
52462,8997,37.26667,1446.47,1.23956,0.000563,-1.517763,0,0,0,0,0,0,0,0,0,0,0,1.126e-05,43.3235820945715,1.12599366066333e-05,43.3240699181059
52463,8997,37.33333,1450.31,1.24174,0.000599,-1.518255,0,0,0,0,0,0,0,0,0,0,0,1.198e-05,43.4385948879534,1.19799282403956e-05,43.4391152823202
52464,8997,37.4,1453.83,1.2439,0.000609,-1.522353,0,0,0,0,0,0,0,0,0,0,0,1.218e-05,43.5440232818868,1.21799258243196e-05,43.5445536480904
52465,8997,37.46667,1457.05,1.24622,0.000622,-1.5122,0,0,0,0,0,0,0,0,0,0,0,1.244e-05,43.6404663013373,1.24399226237331e-05,43.6410091887381
52466,8997,37.53333,1460.835,1.2484,0.00066,-1.518707,0,0,0,0,0,0,0,0,0,0,0,1.32e-05,43.753831776064,1.31999128807021e-05,43.7544093266435
52467,8997,37.6,1464.55,1.25058,0.000706,-1.519354,0,0,0,0,0,0,0,0,0,0,0,1.412e-05,43.8651006634114,1.41199003136337e-05,43.8657200386327
52468,8997,37.66667,1468.035,1.2529,0.000734,-1.512529,0,0,0,0,0,0,0,0,0,0,0,1.468e-05,43.9694807636551,1.46798922498992e-05,43.9701262356327
52469,8997,37.73333,1471.85,1.2551,0.000763,-1.514757,0,0,0,0,0,0,0,0,0,0,0,1.526e-05,44.0837447758301,1.52598835674569e-05,44.0844174937754
52470,8997,37.8,1475.56,1.25726,0.000806,-1.508609,0,0,0,0,0,0,0,0,0,0,0,1.612e-05,44.1948639069361,1.61198700741491e-05,44.1955763281423
52471,8997,37.86666,1478.97,1.25958,0.000839,-1.519343,0,0,0,0,0,0,0,0,0,0,0,1.678e-05,44.2969976635591,1.67798592173134e-05,44.2977409671799
