ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
339,9000,22.06667,381.135,0.7332,2.3e-05,-1.451738,0,0,0,0,0,0,0,0,0,0,0,4.6e-07,10.0177565126386,4.59999894290976e-07,10.0177611208066
340,9000,22.13333,382.475,0.73548,0.000168,-1.440456,0,0,0,0,0,0,0,0,0,0,0,3.36e-06,10.0529770873089,3.35999435522045e-06,10.0530108653119
341,9000,22.2,384.295,0.73766,0.000315,-1.448242,0,0,0,0,0,0,0,0,0,0,0,6.3e-06,10.1008139872341,6.29998015498695e-06,10.1008776223622
342,9000,22.26667,385.915,0.73982,0.000455,-1.457698,0,0,0,0,0,0,0,0,0,0,0,9.1e-06,10.1433940849697,9.09995859523531e-06,10.1434863898559
343,9000,22.33333,386.965,0.74214,0.000542,-1.451518,0,0,0,0,0,0,0,0,0,0,0,1.084e-05,10.1709922964651,1.0839941247692e-05,10.1711025500216
344,9000,22.4,388.35,0.74434,0.000685,-1.441359,0,0,0,0,0,0,0,0,0,0,0,1.37e-05,10.2073956516279,1.36999061558625e-05,10.2075354929484
345,9000,22.46667,389.295,0.7465,0.000797,-1.439381,0,0,0,0,0,0,0,0,0,0,0,1.594e-05,10.2322340419737,1.59398729594866e-05,10.2323971437844
346,9000,22.53333,390.345,0.74878,0.000911,-1.450525,0,0,0,0,0,0,0,0,0,0,0,1.822e-05,10.2598322534691,1.82198340178849e-05,10.2600191876127
347,9000,22.6,391.54,0.751,0.001023,-1.455688,0,0,0,0,0,0,0,0,0,0,0,2.046e-05,10.2912416465518,2.04597906970548e-05,10.2914522053559
348,9000,22.66667,392.66,0.75316,0.001128,-1.454975,0,0,0,0,0,0,0,0,0,0,0,2.256e-05,10.3206797388135,2.2559745526921e-05,10.3209125733484
349,9000,22.73333,393.505,0.75546,0.001247,-1.447742,0,0,0,0,0,0,0,0,0,0,0,2.494e-05,10.3428897280645,2.49396890034552e-05,10.3431476797343
350,9000,22.8,394.625,0.75768,0.001349,-1.440843,0,0,0,0,0,0,0,0,0,0,0,2.698e-05,10.3723278203262,2.69796360462451e-05,10.3726076657308
351,9000,22.86667,395.575,0.75986,0.001431,-1.443506,0,0,0,0,0,0,0,0,0,0,0,2.862e-05,10.3972976307267,2.86195904555378e-05,10.3975952013849
352,9000,22.93333,396.705,0.76216,0.001535,-1.445156,0,0,0,0,0,0,0,0,0,0,0,3.07e-05,10.4269985630979,3.06995287645837e-05,10.4273186719538
353,9000,23,397.86,0.76438,0.001657,-1.448577,0,0,0,0,0,0,0,0,0,0,0,3.314e-05,10.4573565957427,3.31394508823189e-05,10.4577031525403
354,9000,23.06667,398.95,0.76652,0.001739,-1.447694,0,0,0,0,0,0,0,0,0,0,0,3.478e-05,10.486006167676,3.47793951898355e-05,10.4863708709705
355,9000,23.13333,399.91,0.7688,0.00181,-1.437891,0,0,0,0,0,0,0,0,0,0,0,3.62e-05,10.511238818186,3.6199344795854e-05,10.5116193250312
356,9000,23.2,400.82,0.771,0.001901,-1.430779,0,0,0,0,0,0,0,0,0,0,0,3.802e-05,10.5351572681486,3.8019277258202e-05,10.5355578148279
357,9000,23.26667,402.025,0.7732,0.00198,-1.435855,0,0,0,0,0,0,0,0,0,0,0,3.96e-05,10.5668295013409,3.95992159407276e-05,10.5672479477891
358,9000,23.33333,402.755,0.77548,0.002049,-1.436739,0,0,0,0,0,0,0,0,0,0,0,4.098e-05,10.5860168293329,4.09791603428186e-05,10.5864506443025
359,9000,23.4,404.06,0.7777,0.002131,-1.434316,0,0,0,0,0,0,0,0,0,0,0,4.262e-05,10.6203174636199,4.26190917937093e-05,10.6207701015502
360,9000,23.46667,405.085,0.77988,0.002209,-1.43404,0,0,0,0,0,0,0,0,0,0,0,4.418e-05,10.6472585748415,4.41790240924929e-05,10.6477289707254
361,9000,23.53333,406.205,0.78214,0.002291,-1.441748,0,0,0,0,0,0,0,0,0,0,0,4.582e-05,10.6766966671032,4.58189502958391e-05,10.6771858733445
362,9000,23.6,407.225,0.7844,0.002365,-1.452654,0,0,0,0,0,0,0,0,0,0,0,4.73e-05,10.7035063582701,4.72988813903567e-05,10.7040126341208
363,9000,23.66667,408.39,0.78654,0.002474,-1.451623,0,0,0,0,0,0,0,0,0,0,0,4.948e-05,10.7341272310244,4.94787759051138e-05,10.7346583556398
364,9000,23.73333,409.53,0.78876,0.002546,-1.437079,0,0,0,0,0,0,0,0,0,0,0,5.092e-05,10.7640910035051,5.09187036208729e-05,10.764639111019
365,9000,23.8,410.59,0.79106,0.002609,-1.437695,0,0,0,0,0,0,0,0,0,0,0,5.218e-05,10.7919520551099,5.21786386711131e-05,10.7925151791681
366,9000,23.86667,412.02,0.79324,0.002706,-1.443221,0,0,0,0,0,0,0,0,0,0,0,5.412e-05,10.8295381907654,5.41185355655719e-05,10.8301242853723
367,9000,23.93333,413.15,0.79544,0.002782,-1.44685,0,0,0,0,0,0,0,0,0,0,0,5.564e-05,10.8592391231366,5.5638452152638e-05,10.8598433312014
368,9000,24,414.42,0.7977,0.002892,-1.442735,0,0,0,0,0,0,0,0,0,0,0,5.784e-05,10.8926198170404,5.78383273316735e-05,10.8932498461707
369,9000,24.06667,415.59,0.79994,0.002989,-1.42937,0,0,0,0,0,0,0,0,0,0,0,5.978e-05,10.9233721098495,5.97782132469615e-05,10.9240251090342
370,9000,24.13333,416.885,0.80216,0.003065,-1.431308,0,0,0,0,0,0,0,0,0,0,0,6.13e-05,10.9574099040271,6.12981212318205e-05,10.9580815932542
371,9000,24.2,417.845,0.80438,0.003157,-1.435351,0,0,0,0,0,0,0,0,0,0,0,6.314e-05,10.9826425545371,6.31380067540635e-05,10.983335998588
372,9000,24.26667,419.16,0.80658,0.003243,-1.434741,0,0,0,0,0,0,0,0,0,0,0,6.486e-05,11.0172060289336,6.48578966810914e-05,11.0179206049167
373,9000,24.33333,420.31,0.8088,0.003304,-1.435388,0,0,0,0,0,0,0,0,0,0,0,6.608e-05,11.0474326415237,6.60778168130555e-05,11.0481626558727
374,9000,24.4,421.5,0.81104,0.003393,-1.432414,0,0,0,0,0,0,0,0,0,0,0,6.786e-05,11.0787106145518,6.7857697614279e-05,11.0794624158541
375,9000,24.46667,422.56,0.81328,0.00347,-1.434028,0,0,0,0,0,0,0,0,0,0,0,6.94e-05,11.1065716661566,6.93975919315209e-05,11.1073424622302
376,9000,24.53333,423.57,0.81549,0.003579,-1.444387,0,0,0,0,0,0,0,0,0,0,0,7.158e-05,11.133118517214,7.15774382740048e-05,11.1339154258374
377,9000,24.6,424.31,0.81771,0.003658,-1.440631,0,0,0,0,0,0,0,0,0,0,0,7.316e-05,11.1525686853155,7.31573239376252e-05,11.1533846072405
378,9000,24.66667,425.285,0.81995,0.003727,-1.437869,0,0,0,0,0,0,0,0,0,0,0,7.454e-05,11.1781955959897,7.45372220322019e-05,11.1790288186894
379,9000,24.73333,424.965,0.82217,0.003793,-1.437234,0,0,0,0,0,0,0,0,0,0,0,7.586e-05,11.1697847124863,7.58571227756376e-05,11.1706320523546
380,9000,24.8,408.285,0.82439,0.00361,-1.446869,0,0,0,0,0,0,0,0,0,0,0,7.22e-05,10.7313674098749,7.21973937054156e-05,10.7321422146019
381,9000,24.86667,339.365,0.82663,0.002724,-1.447778,0,0,0,0,0,0,0,0,0,0,0,5.448e-05,8.91987337534368,5.44785160186658e-05,8.92035933004517
382,9000,24.93333,323.465,0.82883,0.002635,-1.448422,0,0,0,0,0,0,0,0,0,0,0,5.27e-05,8.50195760127162,5.26986114036914e-05,8.50240565443721
383,9000,25,329.585,0.83103,0.002833,-1.447074,0,0,0,0,0,0,0,0,0,0,0,5.666e-05,8.66281574827294,5.6658394882872e-05,8.66330658341324
384,9000,25.06667,336.14,0.83333,0.003055,-1.444392,0,0,0,0,0,0,0,0,0,0,0,6.11e-05,8.83510744003661,6.10981334709547e-05,8.8356472651012
385,9000,25.13333,341.565,0.83553,0.003284,-1.442996,0,0,0,0,0,0,0,0,0,0,0,6.568e-05,8.97769819942912,6.56778431633081e-05,8.97828785464686
386,9000,25.2,347.83,0.83765,0.003516,-1.452323,0,0,0,0,0,0,0,0,0,0,0,7.032e-05,9.14236752801789,7.03175276647705e-05,9.14301041930247
387,9000,25.26667,352.665,0.83999,0.003706,-1.449462,0,0,0,0,0,0,0,0,0,0,0,7.412e-05,9.26945072095113,7.41172532485917e-05,9.27013777263857
388,9000,25.33333,358.07,0.84225,0.003936,-1.445735,0,0,0,0,0,0,0,0,0,0,0,7.872e-05,9.41151580012468,7.8716901743483e-05,9.41225667464847
389,9000,25.4,363.04,0.84437,0.004137,-1.450358,0,0,0,0,0,0,0,0,0,0,0,8.274e-05,9.54214733453589,8.27365772350795e-05,9.54293685180635
390,9000,25.46667,367.98,0.84663,0.004353,-1.443295,0,0,0,0,0,0,0,0,0,0,0,8.706e-05,9.67199034861865,8.70562104981688e-05,9.6728323920984
391,9000,25.53333,372.45,0.84889,0.004534,-1.437772,0,0,0,0,0,0,0,0,0,0,0,9.068e-05,9.78947987755589,9.06758888173425e-05,9.79036758759119
392,9000,25.6,377.27,0.85103,0.004715,-1.436532,0,0,0,0,0,0,0,0,0,0,0,9.43e-05,9.9161688103249,9.42955540344925e-05,9.91710390504372
393,9000,25.66667,381.385,0.85331,0.00487,-1.432174,0,0,0,0,0,0,0,0,0,0,0,9.74e-05,10.0243275153756,9.73952569280062e-05,10.0253038848756
394,9000,25.73333,384.85,0.85555,0.004987,-1.431722,0,0,0,0,0,0,0,0,0,0,0,9.974e-05,10.1154016133102,9.97350262969302e-05,10.1164105234671
395,9000,25.8,387.475,0.85771,0.005094,-1.436215,0,0,0,0,0,0,0,0,0,0,0,0.00010188,10.1843971420485,0.000101874810585372,10.1854347284293
396,9000,25.86667,389.61,0.85999,0.005198,-1.444637,0,0,0,0,0,0,0,0,0,0,0,0.00010396,10.2405135054223,0.000103954596533596,10.2415781092064
397,9000,25.93333,391.33,0.86227,0.005272,-1.437248,0,0,0,0,0,0,0,0,0,0,0,0.00010544,10.2857220042528,0.000105434441593928,10.2868065307809
398,9000,26,392.92,0.86439,0.005305,-1.433231,0,0,0,0,0,0,0,0,0,0,0,0.0001061,10.32751358166,0.000106094371793096,10.328609330851
399,9000,26.06667,394.32,0.86661,0.005354,-1.434556,0,0,0,0,0,0,0,0,0,0,0,0.00010708,10.3643111969871,0.000107074267346069,10.3654210074301
400,9000,26.13333,395.95,0.86889,0.005425,-1.43051,0,0,0,0,0,0,0,0,0,0,0,0.0001085,10.4071541348322,0.000108494114300795,10.4082833110558
401,9000,26.2,397.73,0.87105,0.005506,-1.441959,0,0,0,0,0,0,0,0,0,0,0,0.00011012,10.4539396743195,0.000110113937237875,10.4550908621565
402,9000,26.26667,399.68,0.87331,0.005575,-1.447984,0,0,0,0,0,0,0,0,0,0,0,0.0001115,10.505193495668,0.000111493784337069,10.5063648247427
403,9000,26.33333,401.545,0.87559,0.005659,-1.443434,0,0,0,0,0,0,0,0,0,0,0,0.00011318,10.5542131760859,0.000113173595627073,10.5554077019331
404,9000,26.4,404.06,0.87777,0.005738,-1.438899,0,0,0,0,0,0,0,0,0,0,0,0.00011476,10.6203174636199,0.000114753415574939,10.621536251252
405,9000,26.46667,406.16,0.87997,0.00582,-1.449405,0,0,0,0,0,0,0,0,0,0,0,0.0001164,10.6755138866106,0.00011639322604567,10.676756516427
406,9000,26.53333,408.715,0.88227,0.005926,-1.456048,0,0,0,0,0,0,0,0,0,0,0,0.00011852,10.7426695345825,0.000118512977059711,10.7439427557757
407,9000,26.6,411.06,0.88443,0.00598,-1.452401,0,0,0,0,0,0,0,0,0,0,0,0.0001196,10.8043055402554,0.000119592848490317,10.805597735198
408,9000,26.66667,413.505,0.88657,0.006092,-1.451762,0,0,0,0,0,0,0,0,0,0,0,0.00012184,10.8685699470231,0.000121832578110089,10.8698941735854
409,9000,26.73333,415.73,0.88893,0.006173,-1.443443,0,0,0,0,0,0,0,0,0,0,0,0.00012346,10.9270518713822,0.00012345237944138,10.9284009252063
410,9000,26.8,418.34,0.89113,0.006257,-1.441163,0,0,0,0,0,0,0,0,0,0,0,0.00012514,10.9956531399563,0.000125132170643338,10.9970291359903
411,9000,26.86667,420.755,0.89327,0.006352,-1.440199,0,0,0,0,0,0,0,0,0,0,0,0.00012704,11.0591290263956,0.000127031931102542,11.0605339781471
412,9000,26.93333,422.785,0.89557,0.006418,-1.436309,0,0,0,0,0,0,0,0,0,0,0,0.00012836,11.1124855686199,0.000128351762560036,11.1139119672674
413,9000,27,424.69,0.89781,0.00653,-1.432747,0,0,0,0,0,0,0,0,0,0,0,0.0001306,11.1625566094757,0.000130591472562539,11.1640144393689
414,9000,27.06667,425.84,0.89999,0.006532,-1.434593,0,0,0,0,0,0,0,0,0,0,0,0.00013064,11.1927832220658,0.000130631467338401,11.1942454472659
415,9000,27.13333,426.425,0.90225,0.00654,-1.435475,0,0,0,0,0,0,0,0,0,0,0,0.0001308,11.2081593684703,0.00013079144642585,11.2096253957157
416,9000,27.2,427.105,0.90445,0.006598,-1.437812,0,0,0,0,0,0,0,0,0,0,0,0.00013196,11.2260324959149,0.000131951294045125,11.2275138831631
417,9000,27.26667,427.705,0.90665,0.006632,-1.442423,0,0,0,0,0,0,0,0,0,0,0,0.00013264,11.2418029024837,0.00013263120409289,11.2432940152207
418,9000,27.33333,428.125,0.90887,0.006649,-1.439744,0,0,0,0,0,0,0,0,0,0,0,0.00013298,11.2528421870818,0.000132971158943641,11.2543385900358
419,9000,27.4,428.65,0.91113,0.006665,-1.437264,0,0,0,0,0,0,0,0,0,0,0,0.0001333,11.2666412928295,0.000133291116344344,11.2681431361138
420,9000,27.46667,429.16,0.91333,0.00669,-1.436352,0,0,0,0,0,0,0,0,0,0,0,0.0001338,11.2800461384129,0.00013379104957833,11.2815554085862
421,9000,27.53333,429.57,0.91555,0.006739,-1.440411,0,0,0,0,0,0,0,0,0,0,0,0.00013478,11.2908225829016,0.000134770917991841,11.2923443599693
422,9000,27.6,429.94,0.91781,0.006749,-1.436126,0,0,0,0,0,0,0,0,0,0,0,0.00013498,11.3005476669523,0.000134970891019373,11.3020730148764
423,9000,27.66667,430.45,0.92003,0.006764,-1.428221,0,0,0,0,0,0,0,0,0,0,0,0.00013528,11.3139525125357,0.000135270850486026,11.3154830640316
424,9000,27.73333,430.855,0.92223,0.006795,-1.426578,0,0,0,0,0,0,0,0,0,0,0,0.0001359,11.3245975369696,0.000135890766431629,11.3261365497749
425,9000,27.8,431.33,0.92449,0.006787,-1.424044,0,0,0,0,0,0,0,0,0,0,0,0.00013574,11.3370824421699,0.000135730788159741,11.3386213377406
426,9000,27.86667,431.785,0.92669,0.006792,-1.413937,0,0,0,0,0,0,0,0,0,0,0,0.00013584,11.3490416671512,0.000135830774582643,11.3505833209713
427,9000,27.93333,432.385,0.92887,0.006856,-1.417669,0,0,0,0,0,0,0,0,0,0,0,0.00013712,11.36481207372,0.000137110599912074,11.3663704167515
428,9000,28,432.955,0.93117,0.006858,-1.425537,0,0,0,0,0,0,0,0,0,0,0,0.00013716,11.3797939599603,0.000137150594427205,11.3813548124998
429,9000,28.06667,433.445,0.93337,0.006879,-1.423834,0,0,0,0,0,0,0,0,0,0,0,0.00013758,11.3926731253248,0.000137570536739842,11.3942405292934
430,9000,28.13333,434,0.93549,0.006909,-1.421959,0,0,0,0,0,0,0,0,0,0,0,0.00013818,11.4072607514009,0.000138170454023153,11.4088370066915
431,9000,28.2,434.435,0.93781,0.00694,-1.421888,0,0,0,0,0,0,0,0,0,0,0,0.0001388,11.4186942961632,0.000138790368171249,11.4202792109315
432,9000,28.26667,435.045,0.94007,0.006963,-1.424745,0,0,0,0,0,0,0,0,0,0,0,0.00013926,11.4347275428415,0.000139250304226431,11.4363199429991
433,9000,28.33333,435.53,0.94221,0.006978,-1.420335,0,0,0,0,0,0,0,0,0,0,0,0.00013956,11.4474752881512,0.000139550262409213,11.4490728978024
