取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.1729
6.50,0.1057
7.50,0.0730
8.50,0.0515
9.50,0.0372
10.50,0.0287
11.50,0.0221
12.50,0.0187
13.50,0.0164
14.50,0.0146
15.50,0.0131
16.50,0.0119
17.50,0.0108
18.50,0.0105
19.50,0.0103
20.50,0.0100
21.50,0.0093
22.50,0.0097
23.50,0.0089
24.50,0.0087
25.50,0.0089
26.50,0.0087
27.50,0.0088
28.50,0.0083
29.50,0.0085
30.50,0.0076
31.50,0.0071
32.50,0.0071
33.50,0.0068
34.50,0.0064
35.50,0.0062
36.50,0.0062
37.50,0.0058
38.50,0.0058
39.50,0.0060
40.50,0.0057
41.50,0.0057
42.50,0.0058
43.50,0.0055
44.50,0.0056
45.50,0.0056
46.50,0.0051
47.50,0.0053
48.50,0.0056
49.50,0.0050
50.50,0.0052
51.50,0.0050
52.50,0.0050
53.50,0.0050
54.50,0.0049
55.50,0.0048
56.50,0.0052
57.50,0.0047
58.50,0.0050
59.50,0.0048
60.50,0.0049
61.50,0.0049
62.50,0.0050
63.50,0.0050
64.50,0.0050
65.50,0.0052
66.50,0.0049
67.50,0.0050
68.50,0.0049
69.50,0.0055
70.50,0.0050
71.50,0.0050
72.50,0.0049
73.50,0.0044
74.50,0.0047
75.50,0.0046
76.50,0.0045
77.50,0.0044
78.50,0.0050
79.50,0.0044
80.50,0.0046
81.50,0.0046
82.50,0.0047
83.50,0.0045
84.50,0.0043
85.50,0.0042
86.50,0.0042
87.50,0.0038
88.50,0.0038
89.50,0.0036
