取向差角 [°],邻近对分布
0.50,
1.50,
2.50,
3.50,
4.50,
5.50,0.0017
6.50,0.0026
7.50,0.0027
8.50,0.0036
9.50,0.0033
10.50,0.0028
11.50,0.0041
12.50,0.0047
13.50,0.0063
14.50,0.0065
15.50,0.0062
16.50,0.0064
17.50,0.0070
18.50,0.0105
19.50,0.0095
20.50,0.0098
21.50,0.0119
22.50,0.0114
23.50,0.0124
24.50,0.0112
25.50,0.0158
26.50,0.0146
27.50,0.0147
28.50,0.0150
29.50,0.0185
30.50,0.0181
31.50,0.0184
32.50,0.0154
33.50,0.0164
34.50,0.0172
35.50,0.0147
36.50,0.0152
37.50,0.0172
38.50,0.0128
39.50,0.0148
40.50,0.0148
41.50,0.0138
42.50,0.0139
43.50,0.0139
44.50,0.0139
45.50,0.0140
46.50,0.0147
47.50,0.0132
48.50,0.0122
49.50,0.0110
50.50,0.0138
51.50,0.0126
52.50,0.0142
53.50,0.0130
54.50,0.0123
55.50,0.0113
56.50,0.0136
57.50,0.0140
58.50,0.0130
59.50,0.0107
60.50,0.0137
61.50,0.0124
62.50,0.0128
63.50,0.0122
64.50,0.0138
65.50,0.0140
66.50,0.0109
67.50,0.0135
68.50,0.0148
69.50,0.0121
70.50,0.0117
71.50,0.0108
72.50,0.0108
73.50,0.0123
74.50,0.0097
75.50,0.0116
76.50,0.0103
77.50,0.0124
78.50,0.0108
79.50,0.0109
80.50,0.0106
81.50,0.0113
82.50,0.0111
83.50,0.0110
84.50,0.0089
85.50,0.0108
86.50,0.0123
87.50,0.0098
88.50,0.0108
89.50,0.0111
