grid_row,grid_col,filename,x_emu,y_emu,w_emu,h_emu
1,1,image1.jpeg,1564030,709295,2520000,2520000
1,2,image4.jpeg,4150881,709295,2520000,2520000
1,4,image10.jpeg,9340763,709295,2520000,2520000
1,5,image13.jpeg,11927118,709295,2520000,2520000
1,6,image16.jpeg,14505218,709295,2520000,2520000
1,3,image7.jpeg,6742343,715010,2520000,2520000
2,1,image2.jpeg,1563688,3301365,2520000,2520000
2,2,image5.jpeg,4150881,3301365,2520000,2520000
2,3,image8.jpeg,6742343,3301365,2520000,2520000
2,4,image11.jpeg,9340763,3301365,2520000,2520000
2,5,image14.jpeg,11927118,3301365,2520000,2520000
2,6,image17.jpeg,14505218,3301365,2520000,2520000
3,1,image3.jpeg,1564030,5892165,2520000,2520000
3,2,image6.jpeg,4150881,5892165,2520000,2520000
3,3,image9.jpeg,6742343,5892165,2520000,2520000
3,4,image12.jpeg,9340763,5892165,2520000,2520000
3,5,image15.jpeg,11927118,5892165,2520000,2520000
3,6,image18.jpeg,14505218,5892165,2520000,2520000
