ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
25546,8993,41.2,1229.81,1.37133,3e-05,-1.39636,0,0,0,0,0,0,0,0,0,0,0,6e-07,49.5764594075161,5.99999819906303e-07,49.5764891533917
25547,8993,41.26667,1232.875,1.37363,8.6e-05,-1.400591,0,0,0,0,0,0,0,0,0,0,0,1.72e-06,49.7000165814568,1.71999852078454e-06,49.7001020654853
25548,8993,41.33333,1236.405,1.37581,0.00017,-1.391096,0,0,0,0,0,0,0,0,0,0,0,3.4e-06,49.8423189710198,3.39999421999985e-06,49.8424884349043
25549,8993,41.4,1239.885,1.37799,0.000229,-1.398175,0,0,0,0,0,0,0,0,0,0,0,4.58e-06,49.9826057459998,4.57998951175278e-06,49.9828346663341
25550,8993,41.46667,1243.155,1.38031,0.000277,-1.401755,0,0,0,0,0,0,0,0,0,0,0,5.54e-06,50.114426939731,5.53998465433827e-06,50.1147045736563
25551,8993,41.53333,1246.755,1.38251,0.000361,-1.412679,0,0,0,0,0,0,0,0,0,0,0,7.22e-06,50.2595511897104,7.21997393601095e-06,50.25991406367
25552,8993,41.6,1250.255,1.38469,0.00043,-1.40457,0,0,0,0,0,0,0,0,0,0,0,8.6e-06,50.4006442105236,8.59996302012625e-06,50.4010776560638
25553,8993,41.66667,1253.56,1.38701,0.000455,-1.399008,0,0,0,0,0,0,0,0,0,0,0,9.1e-06,50.5338763344629,9.09995859523531e-06,50.5343361927376
25554,8993,41.73333,1257.245,1.38921,0.000529,-1.400248,0,0,0,0,0,0,0,0,0,0,0,1.058e-05,50.6824271292334,1.0579944032288e-05,50.6829633493124
25555,8993,41.8,1260.885,1.39131,0.000616,-1.40169,0,0,0,0,0,0,0,0,0,0,0,1.232e-05,50.8291638708792,1.23199241093779e-05,50.829790086178
25556,8993,41.86666,1263.925,1.39361,0.000679,-1.396272,0,0,0,0,0,0,0,0,0,0,0,1.358e-05,50.9517132375284,1.35799077927033e-05,50.9524051617941
25557,8993,41.93333,1267.365,1.39589,0.000735,-1.401769,0,0,0,0,0,0,0,0,0,0,0,1.47e-05,51.0903875208419,1.46998919559819e-05,51.0911385495385
25558,8993,42,1271.145,1.39807,0.000824,-1.393242,0,0,0,0,0,0,0,0,0,0,0,1.648e-05,51.2427679833202,1.64798642062773e-05,51.2436124641366
25559,8993,42.06667,1274.535,1.40029,0.000868,-1.388353,0,0,0,0,0,0,0,0,0,0,0,1.736e-05,51.3794266520507,1.73598493169102e-05,51.3803185988974
25560,8993,42.13334,1277.96,1.40255,0.000926,-1.397429,0,0,0,0,0,0,0,0,0,0,0,1.852e-05,51.5174962509894,1.85198285069392e-05,51.5184503550199
25561,8993,42.2,1281.53,1.40475,0.0009869999,-1.4078,0,0,0,0,0,0,0,0,0,0,0,1.9739998e-05,51.6614111322188,1.97398031687825e-05,51.6624309283713
25562,8993,42.26667,1284.94,1.40695,0.001048,-1.418106,0,0,0,0,0,0,0,0,0,0,0,2.096e-05,51.7988760467826,2.09597803423392e-05,51.7999617512245
25563,8993,42.33333,1288.33,1.40919,0.00114,-1.418732,0,0,0,0,0,0,0,0,0,0,0,2.28e-05,51.9355347155131,2.27997400839402e-05,51.9367188457046
25564,8993,42.4,1291.855,1.41139,0.001196,-1.407217,0,0,0,0,0,0,0,0,0,0,0,2.392e-05,52.0776355436179,2.39197139214281e-05,52.0788812406601
25565,8993,42.46667,1295.36,1.4136,0.001295,-1.408241,0,0,0,0,0,0,0,0,0,0,0,2.59e-05,52.2189301258894,2.58996646008143e-05,52.2202825961796
25566,8993,42.53333,1298.785,1.41587,0.001356,-1.407745,0,0,0,0,0,0,0,0,0,0,0,2.712e-05,52.356999724828,2.71196322593848e-05,52.3584196466606
25567,8993,42.6,1302.47,1.41811,0.001417,-1.41252,0,0,0,0,0,0,0,0,0,0,0,2.834e-05,52.5055505195985,2.83395984298581e-05,52.5070385269002
25568,8993,42.66667,1306.08,1.42028,0.001484,-1.408922,0,0,0,0,0,0,0,0,0,0,0,2.968e-05,52.6510778924944,2.96795595574358e-05,52.6526405764863
25569,8993,42.73333,1309.53,1.42255,0.001578,-1.404358,0,0,0,0,0,0,0,0,0,0,0,3.156e-05,52.7901552987246,3.15595019937196e-05,52.7918213560258
25570,8993,42.8,1313.055,1.42477,0.001618,-1.399362,0,0,0,0,0,0,0,0,0,0,0,3.236e-05,52.9322561268294,3.23594764265598e-05,52.9339690146376
25571,8993,42.86666,1316.685,1.42694,0.001687,-1.405049,0,0,0,0,0,0,0,0,0,0,0,3.374e-05,53.0785897455585,3.3739430818896e-05,53.0803806171765
25572,8993,42.93333,1320.175,1.42923,0.001779,-1.405107,0,0,0,0,0,0,0,0,0,0,0,3.558e-05,53.2192796434551,3.55793670468486e-05,53.2211731854248
25573,8993,43,1323.715,1.43147,0.001832,-1.394061,0,0,0,0,0,0,0,0,0,0,0,3.664e-05,53.3619851559348,3.6639328771628e-05,53.3639403390709
25574,8993,43.06667,1327.41,1.43362,0.001891,-1.393788,0,0,0,0,0,0,0,0,0,0,0,3.782e-05,53.5109390736219,3.78192848417977e-05,53.5129628573376
25575,8993,43.13334,1330.765,1.43588,0.001965,-1.407105,0,0,0,0,0,0,0,0,0,0,0,3.93e-05,53.6461868121443,3.92992277753076e-05,53.648295107286
25576,8993,43.2,1334.275,1.43815,0.00201,-1.411624,0,0,0,0,0,0,0,0,0,0,0,4.02e-05,53.7876829558741,4.0199192001589e-05,53.7898452207289
25577,8993,43.26667,1338.1,1.4403,0.002089,-1.409485,0,0,0,0,0,0,0,0,0,0,0,4.178e-05,53.9418774714771,4.17791272402115e-05,53.9441311631179
25578,8993,43.33333,1341.46,1.44254,0.002133,-1.410332,0,0,0,0,0,0,0,0,0,0,0,4.266e-05,54.0773267714578,4.2659090088161e-05,54.0796337102179
25579,8993,43.4,1344.785,1.44483,0.002212,-1.411837,0,0,0,0,0,0,0,0,0,0,0,4.424e-05,54.2113651412303,4.42390214400896e-05,54.2137634520242
