ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
657,8989,43.86666,958.46,1.46065,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.6e-07,48.8139669618746,1.59999987115784e-07,48.8139747721093
658,8989,43.93333,960.59,1.46297,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,8.2e-07,48.922446971086,8.19999663701639e-07,48.9224870874925
659,8989,44,963.27,1.46517,6.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.28e-06,49.0589382502816,1.2799991807931e-06,49.0590010457226
660,8989,44.06667,965.84,1.46735,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,2.6e-06,49.1898272754804,2.5999966199696e-06,49.1899551690313
661,8989,44.13334,968.045,1.46963,0.000156,0,0,0,0,0,0,0,0,0,0,0,0,3.12e-06,49.302127003326,3.11999513272221e-06,49.3022808259623
662,8989,44.2,970.565,1.47185,0.00023,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-06,49.4304695494353,4.5999894200537e-06,49.4306969295953
663,8989,44.26667,973.135,1.47403,0.000264,0,0,0,0,0,0,0,0,0,0,0,0,5.28e-06,49.5613585746341,5.27998606095649e-06,49.5616202586074
664,8989,44.33333,975.47,1.47629,0.000281,0,0,0,0,0,0,0,0,0,0,0,0,5.62e-06,49.6802791481124,5.61998420789865e-06,49.6805583512812
665,8989,44.4,977.685,1.47849,0.000356,0,0,0,0,0,0,0,0,0,0,0,0,7.12e-06,49.7930881717759,7.11997465294742e-06,49.7934426985637
666,8989,44.46667,980.13,1.48071,0.000399,0,0,0,0,0,0,0,0,0,0,0,0,7.98e-06,49.917610999251,7.9799681598769e-06,49.9180093417868
667,8989,44.53333,982.5,1.48295,0.000443,0,0,0,0,0,0,0,0,0,0,0,0,8.86e-06,50.0383141080919,8.85996075054228e-06,50.0387574475549
668,8989,44.6,984.95,1.48519,0.000479,0,0,0,0,0,0,0,0,0,0,0,0,9.58e-06,50.1630915834759,9.57995411204658e-06,50.1635721458933
669,8989,44.66667,987.39,1.48739,0.000553,0,0,0,0,0,0,0,0,0,0,0,0,1.106e-05,50.2873597630421,1.10599388387136e-05,50.2879159412411
670,8989,44.73333,989.725,1.48963,0.000594,0,0,0,0,0,0,0,0,0,0,0,0,1.188e-05,50.4062803365204,1.1879929433323e-05,50.4068791631307
671,8989,44.8,992,1.49187,0.000612,0,0,0,0,0,0,0,0,0,0,0,0,1.224e-05,50.5221451350913,1.22399250918079e-05,50.5227635261477
672,8989,44.86666,994.455,1.49407,0.000676,0,0,0,0,0,0,0,0,0,0,0,0,1.352e-05,50.6471772583843,1.35199086056129e-05,50.6478620082208
673,8989,44.93333,996.715,1.49629,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,1.48e-05,50.7622781132283,1.47998904810621e-05,50.7630293949444
674,8989,45,999.025,1.49853,0.000745,0,0,0,0,0,0,0,0,0,0,0,0,1.49e-05,50.8799254471618,1.48998889961425e-05,50.880683558051
675,8989,45.06667,1001.55,1.50073,0.000827,0,0,0,0,0,0,0,0,0,0,0,0,1.654e-05,51.0085226411801,1.65398632157731e-05,51.0093663221446
676,8989,45.13334,1003.875,1.50293,0.000834,0,0,0,0,0,0,0,0,0,0,0,0,1.668e-05,51.1269339188405,1.66798608904491e-05,51.1277867160982
677,8989,45.2,1006.035,1.50521,0.000842,0,0,0,0,0,0,0,0,0,0,0,0,1.684e-05,51.2369418155056,1.68398582088098e-05,51.2378046456057
678,8989,45.26667,1008.41,1.50739,0.000906,0,0,0,0,0,0,0,0,0,0,0,0,1.812e-05,51.3578995722554,1.81198358347935e-05,51.3588301773957
679,8989,45.33333,1010.805,1.50955,0.000975,0,0,0,0,0,0,0,0,0,0,0,0,1.95e-05,51.479875920641,1.94998098775327e-05,51.4808797782215
680,8989,45.4,1012.935,1.51185,0.001013,0,0,0,0,0,0,0,0,0,0,0,0,2.026e-05,51.5883559298525,2.02597947690772e-05,51.5894011099436
681,8989,45.46667,1015.45,1.51409,0.001077,0,0,0,0,0,0,0,0,0,0,0,0,2.154e-05,51.7164438280528,2.15397680176289e-05,51.7175578002529
682,8989,45.53333,1017.89,1.51625,0.001095,0,0,0,0,0,0,0,0,0,0,0,0,2.19e-05,51.840712007619,2.18997601984092e-05,51.841847319212
683,8989,45.6,1020,1.51851,0.001154,0,0,0,0,0,0,0,0,0,0,0,0,2.308e-05,51.9481734251946,2.30797336609622e-05,51.9493723890373
684,8989,45.66667,1022.345,1.52075,0.001203,0,0,0,0,0,0,0,0,0,0,0,0,2.406e-05,52.0676032944908,2.4059710562946e-05,52.0688560410261
685,8989,45.73333,1024.8,1.52293,0.001236,0,0,0,0,0,0,0,0,0,0,0,0,2.472e-05,52.1926354177838,2.47196944659243e-05,52.1939256197313
686,8989,45.8,1027.045,1.52519,0.001254,0,0,0,0,0,0,0,0,0,0,0,0,2.508e-05,52.306972328901,2.5079685501958e-05,52.308284187767
687,8989,45.86666,1029.185,1.52741,0.00131,0,0,0,0,0,0,0,0,0,0,0,0,2.62e-05,52.4159616339303,2.6199656785971e-05,52.4173349321251
688,8989,45.93333,1031.485,1.52963,0.001351,0,0,0,0,0,0,0,0,0,0,0,0,2.702e-05,52.533099672046,2.70196349664752e-05,52.5345191163991
689,8989,46,1033.64,1.53189,0.001413,0,0,0,0,0,0,0,0,0,0,0,0,2.826e-05,52.6428529208021,2.82596006936141e-05,52.6443406078257
690,8989,46.06667,1035.86,1.53413,0.001443,0,0,0,0,0,0,0,0,0,0,0,0,2.886e-05,52.7559165923746,2.88595835582317e-05,52.7574391281275
691,8989,46.13334,1038.255,1.53629,0.001505,0,0,0,0,0,0,0,0,0,0,0,0,3.01e-05,52.8778929407603,3.0099547004123e-05,52.8794845653378
692,8989,46.2,1040.38,1.53853,0.00152,0,0,0,0,0,0,0,0,0,0,0,0,3.04e-05,52.9861183020627,3.03995379293506e-05,52.9877290800591
693,8989,46.26667,1042.535,1.54077,0.001566,0,0,0,0,0,0,0,0,0,0,0,0,3.132e-05,53.0958715508189,3.13195095389866e-05,53.0975345135159
694,8989,46.33333,1044.785,1.54295,0.001571,0,0,0,0,0,0,0,0,0,0,0,0,3.142e-05,53.2104631098451,3.14195064021434e-05,53.212134982596
695,8989,46.4,1046.865,1.54521,0.001625,0,0,0,0,0,0,0,0,0,0,0,0,3.25e-05,53.316396639967,3.24994718865443e-05,53.3181294228579
696,8989,46.46667,1049.075,1.54745,0.001671,0,0,0,0,0,0,0,0,0,0,0,0,3.342e-05,53.4289510157216,3.34194415643036e-05,53.4307366112646
697,8989,46.53333,1051.42,1.54963,0.001697,0,0,0,0,0,0,0,0,0,0,0,0,3.394e-05,53.5483808850178,3.39394240512418e-05,53.550198317065
698,8989,46.6,1053.435,1.55189,0.001717,0,0,0,0,0,0,0,0,0,0,0,0,3.434e-05,53.6510039923234,3.43394103957195e-05,53.6528463678005
699,8989,46.66667,1055.655,1.55417,0.001809,0,0,0,0,0,0,0,0,0,0,0,0,3.618e-05,53.7640676638959,3.61793455195273e-05,53.766012847864
700,8989,46.73333,1057.905,1.55631,0.001812,0,0,0,0,0,0,0,0,0,0,0,0,3.624e-05,53.8786592229221,3.62393433470854e-05,53.8806117855323
701,8989,46.8,1059.965,1.5585,0.001843,0,0,0,0,0,0,0,0,0,0,0,0,3.686e-05,53.9835741614083,3.68593206869204e-05,53.9855639959519
