ID,TestNo,PlayTime,LoadValue,PositionValue,DeformValue,ExtDevValue,PercentWatch,YBValue,YLValue,DeformSwitch,CtrlStep,ExtendDevice1,ExtendDevice2,ExtendDevice3,ExtendDevice4,ExtendDevice5,ExtendDevice6,Engineering Strain,Engineering Stress,Ture Strain,Ture Stress
15770,9001,111.2667,5581.76,3.70888,9.7e-05,-1.453571,0,0,0,0,0,0,0,0,0,0,0,1.94e-06,146.711040948708,1.9399981181805e-06,146.711325568128
15771,9001,111.3333,5589.41,3.71118,0.000173,-1.44982,0,0,0,0,0,0,0,0,0,0,0,3.46e-06,146.91211363246,3.45999401428e-06,146.912621948373
15772,9001,111.4,5597.655,3.71336,0.000247,-1.439572,0,0,0,0,0,0,0,0,0,0,0,4.94e-06,147.128825302725,4.9399877981935e-06,147.129552119122
15773,9001,111.4667,5605.635,3.71554,0.000377,-1.448862,0,0,0,0,0,0,0,0,0,0,0,7.54e-06,147.33857171009,7.53997157425994e-06,147.339682642921
15774,9001,111.5333,5613.195,3.7178,0.000407,-1.454984,0,0,0,0,0,0,0,0,0,0,0,8.14e-06,147.537278832856,8.13996687042512e-06,147.538479786306
15775,9001,111.6,5620.945,3.71998,0.000486,-1.45199,0,0,0,0,0,0,0,0,0,0,0,9.72e-06,147.740979917703,9.71995276109696e-06,147.742415960028
15776,9001,111.6667,5628.895,3.7222,0.000596,-1.443343,0,0,0,0,0,0,0,0,0,0,0,1.192e-05,147.949937804739,1.19199289573076e-05,147.951701367997
15777,9001,111.7333,5636.935,3.72448,0.000692,-1.448022,0,0,0,0,0,0,0,0,0,0,0,1.384e-05,148.16126125276,1.38399042281264e-05,148.163311804616
15778,9001,111.8,5645.045,3.7267,0.000771,-1.439764,0,0,0,0,0,0,0,0,0,0,0,1.542e-05,148.374424581548,1.54198811130104e-05,148.376712515175
15779,9001,111.8667,5653.355,3.72888,0.000842,-1.435033,0,0,0,0,0,0,0,0,0,0,0,1.684e-05,148.592844712525,1.68398582088098e-05,148.59534701603
15780,9001,111.9333,5661.225,3.73114,0.000937,-1.440472,0,0,0,0,0,0,0,0,0,0,0,1.874e-05,148.799699878685,1.87398244084108e-05,148.802488385061
15781,9001,112,5668.975,3.73336,0.001015,-1.436309,0,0,0,0,0,0,0,0,0,0,0,2.03e-05,149.003400963532,2.02997939578726e-05,149.006425732571
