file,sample,diameter_mm,area_reduction_percent_vs_7mm,condition,repeat,rows,UTS_engineering_MPa,strain_at_UTS_uniform_elongation_percent,max_true_stress_MPa,true_strain_at_max_true_stress_percent,fracture_engineering_strain_last_percent,fracture_true_strain_last_percent,fracture_engineering_stress_last_MPa,max_load_N,estimated_area_mm2_from_load_over_UTS,estimated_diameter_mm_from_area,yield_status,elastic_fit_range_MPa,elastic_modulus_GPa,elastic_intercept_MPa,elastic_fit_R2,elastic_fit_points,Rp0.2_MPa,strain_at_Rp0.2
gr4b23271_cold_deformation_2_raw_d7_m_1.csv,7 M-1,7,0,M,1,13764,711.6551,29.00394,971.58248,33.509529,44.7368,36.974673,36.252485,27075.59,38.045944,6.96,ok,230-380,104.43851,-99.446986,0.99996302,670,577.20662,0.0084789665
gr4b23271_cold_deformation_2_raw_d7_m_2.csv,7 M-2,7,0,M,2,13061,710.68838,26.4603,951.55011,31.818941,-0.70975,-0.71228071,57.434112,27038.81,38.045944,6.96,ok,280-430,105.01,156.01252,0.9999036,636,584.20657,0.0060776501
gr4b23271_cold_deformation_2_raw_d6_48_y_1.csv,6.48 Y-1,6.48,14.305306,Y,1,6837,869.14239,1.4521,904.07476,8.9597749,14.514944,13.553514,285.6774,29018.57,33.38759,6.52,ok,130-280,106.40322,56.75111,0.99985377,638,821.16572,0.0091841303
gr4b23271_cold_deformation_2_raw_d6_48_y_2.csv,6.48 Y-2,6.48,14.305306,Y,2,6280,874.55157,1.43078,904.51579,8.2295989,14.161774,13.244633,103.53699,29109.67,33.285253,6.51,ok,105-255,103.04433,89.240328,0.99986326,638,826.23731,0.0091522325
gr4b23271_cold_deformation_2_raw_d6_02_y_1.csv,6.02 Y-1,6.02,26.04,Y,1,4729,944.74667,1.26063,962.5352,5.4333173,10.886472,10.333672,34.397114,26890.46,28.463144,6.02,ok,305-455,114.94023,334.97132,0.99712675,424,886.08747,0.0067948065
gr4b23271_cold_deformation_2_raw_d6_02_y_2.csv,6.02 Y-2,6.02,26.04,Y,2,3161,937.51952,0.779726,949.13452,4.8492158,10.180654,9.6951142,263.29932,26773.48,28.557784,6.03,not_reliable_no_elastic_segment_or_offset_crossing,,,,,0,,
gr4b23271_cold_deformation_2_raw_d5_6_y_1.csv,5.6 Y-1,5.6,36,Y,1,6301,979.15412,1.747484,1012.2562,8.2134911,12.628946,11.892857,323.67787,24289.22,24.80633,5.62,ok,30-180,99.629116,50.661588,0.99975499,621,881.5764,0.01034008
gr4b23271_cold_deformation_2_raw_d5_6_y_2.csv,5.6 Y-2,5.6,36,Y,2,6154,981.19358,1.743172,1002.0892,4.601187,9.673504,9.2337621,48.435299,24253.27,24.71813,5.61,ok,55-205,105.84928,12.649564,0.99970562,675,862.4043,0.010027969
gr4b23271_cold_deformation_2_raw_d5_25_y_1.csv,5.25 Y-1,5.25,43.75,Y,1,4751,1023.1307,1.349048,1037.1932,1.4075454,8.97151,8.5916286,254.24602,22148.26,21.647537,5.25,ok,280-430,106.7575,286.7666,0.99541518,504,954.7253,0.0082567845
gr4b23271_cold_deformation_2_raw_d5_25_y_2.csv,5.25 Y-2,5.25,43.75,Y,2,5306,1024.2341,1.531916,1040.354,1.6325235,8.968844,8.5891821,12.648417,22087.76,21.565149,5.24,ok,155-305,105.21555,140.23618,0.99988208,594,937.35491,0.0095760547
gr4b23271_cold_deformation_2_raw_d5_y_1.csv,5 Y-1,5,48.979592,Y,1,5340,1022.0986,1.714384,1041.2027,4.1263299,9.156606,8.7613417,226.83144,20068.86,19.634954,5,ok,55-205,104.79906,53.092173,0.99941835,675,904.01795,0.010119594
gr4b23271_cold_deformation_2_raw_d5_y_2.csv,5 Y-2,5,48.979592,Y,2,6410,1035.7642,1.706426,1060.0361,6.6357017,11.291096,10.697907,17.68722,20174.81,19.478189,4.98,ok,30-180,105.54946,0.99046671,0.99553599,792,914.11093,0.010651114
