include_in_final_average,exclude_reason,sample,diameter_mm,cold_reduction_percent_reference,repeat,first_engineering_strain,first_engineering_stress_MPa,UTS_engineering_MPa,uniform_elongation_percent,fracture_strain_from_curve_percent,max_true_stress_MPa,true_strain_at_max_true_stress_percent,Rp0.2_MPa,strain_at_Rp0.2_percent,elastic_modulus_GPa,elastic_fit_range_MPa,yield_status
yes,,7 M-1,7,0,1,4.6e-07,10.017757,711.6551,29.00394,44.7368,971.58248,33.509529,577.20662,0.84789665,104.43851,230-380,ok
no,"excluded_start_not_zero(first_strain=1.94e-06, first_stress=146.711 MPa)",7 M-2,7,0,2,1.94e-06,146.71104,710.68838,26.4603,-0.70975,951.55011,31.818941,,,,,excluded
yes,,6.48 Y-1,6.48,14.305306,1,1e-07,41.261289,869.14239,1.4521,14.514944,904.07476,8.9597749,821.16572,0.91841303,106.40322,130-280,ok
no,"excluded_start_not_zero(first_strain=7.6e-07, first_stress=89.865 MPa)",6.48 Y-2,6.48,14.305306,2,7.6e-07,89.865023,874.55157,1.43078,14.161774,904.51579,8.2295989,,,,,excluded
no,"excluded_start_not_zero(first_strain=2e-07, first_stress=331.603 MPa)",6.02 Y-1,6.02,26.04,1,2e-07,331.60269,944.74667,1.26063,10.886472,962.5352,5.4333173,,,,,excluded
no,"excluded_start_not_zero(first_strain=1.04e-06, first_stress=815.515 MPa)",6.02 Y-2,6.02,26.04,2,1.04e-06,815.51531,937.51952,0.779726,10.180654,949.13452,4.8492158,,,,,excluded
yes,,5.6 Y-1,5.6,36,1,6e-07,49.576459,979.15412,1.747484,12.628946,1012.2562,8.2134911,881.5764,1.034008,99.629116,30-180,ok
yes,,5.6 Y-2,5.6,36,2,1.38e-06,3.3192236,981.19358,1.743172,9.673504,1002.0892,4.601187,862.4043,1.0027969,105.84928,55-205,ok
no,"excluded_start_not_zero(first_strain=1.78e-06, first_stress=234.446 MPa)",5.25 Y-1,5.25,43.75,1,1.78e-06,234.44607,1023.1307,1.349048,8.97151,1037.1932,1.4075454,,,,,excluded
no,"excluded_start_not_zero(first_strain=5e-07, first_stress=137.687 MPa)",5.25 Y-2,5.25,43.75,2,5e-07,137.68697,1024.2341,1.531916,8.968844,1040.354,1.6325235,,,,,excluded
yes,,5 Y-1,5,48.979592,1,1.6e-07,48.813967,1022.0986,1.714384,9.156606,1041.2027,4.1263299,904.01795,1.0119594,104.79906,55-205,ok
yes,,5 Y-2,5,48.979592,2,7e-07,5.7276887,1035.7642,1.706426,11.291096,1060.0361,6.6357017,914.11093,1.0651114,105.54946,30-180,ok
