date,material,specimen_id,repeat,nominal_diameter_group_mm,measured_d0_mm,L0_mm,Le_mm,Rm_MPa,Rp0.2_MPa,total_elongation_A_percent,reduction_of_area_Z_percent,tester,note
2025-02-14,Gr4B23271,Gr4B23271 φ5 R,-1,5.0,5,50,50,1022,973,7.5,32,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ5 R,-2,5.0,4.98,50,50,1036,987,8.5,30,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ5.25-R,-1,5.25,5.25,50,50,1023,980,8,33,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ5.25-R,-2,5.25,5.24,50,50,1024,985,7.5,31,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ5.60R,-1,5.6,5.62,50,50,979,926,9.5,31,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ5.60R,-2,5.6,5.61,50,50,981,928,8.5,34,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ6.02R,-1,6.02,6.02,50,50,945,905,10,35,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ6.02R,-2,6.02,6.03,50,50,938,895,10,36,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ6.50R,-1,6.5,6.52,50,50,869,842,12,35,任洁,规格字迹可能为φ6.50R
2025-02-14,Gr4B23271,Gr4B23271 φ6.50R,-2,6.5,6.51,50,50,875,848,12.5,39,任洁,规格字迹可能为φ6.50R
2025-02-14,Gr4B23271,Gr4B23271 φ7M,-1,7.0,6.96,50,50,712,577,27,45,任洁,
2025-02-14,Gr4B23271,Gr4B23271 φ7M,-2,7.0,6.96,50,50,711,584,26.5,44,任洁,
