sample,cold_reduction_percent,true_strain,work_hardening_rate_MPa
7 M-1,0,0.0115,1476.943
7 M-1,0,0.01225,1888.29
7 M-1,0,0.013,2746.655
7 M-1,0,0.01375,3246.3924
7 M-1,0,0.0145,3572.6707
7 M-1,0,0.01525,3769.7388
7 M-1,0,0.016,3871.6803
7 M-1,0,0.01675,3884.0972
7 M-1,0,0.0175,3827.6067
7 M-1,0,0.01825,3704.5785
7 M-1,0,0.019,3485.1515
7 M-1,0,0.01975,3192.04
7 M-1,0,0.0205,2833.4197
7 M-1,0,0.02125,2470.7784
7 M-1,0,0.022,2135.6299
7 M-1,0,0.02275,1887.8351
7 M-1,0,0.0235,1735.2211
7 M-1,0,0.02425,1671.1243
7 M-1,0,0.025,1664.5754
7 M-1,0,0.02575,1658.9508
7 M-1,0,0.0265,1653.7709
7 M-1,0,0.02725,1647.756
7 M-1,0,0.028,1641.0375
7 M-1,0,0.02875,1633.7814
7 M-1,0,0.0295,1629.274
7 M-1,0,0.03025,1625.073
7 M-1,0,0.031,1621.996
7 M-1,0,0.03175,1615.0304
7 M-1,0,0.0325,1609.5138
7 M-1,0,0.03325,1604.7412
7 M-1,0,0.034,1598.1485
7 M-1,0,0.03475,1588.9817
7 M-1,0,0.0355,1581.2233
7 M-1,0,0.03625,1572.4515
7 M-1,0,0.037,1565.0651
7 M-1,0,0.03775,1555.1409
7 M-1,0,0.0385,1547.5379
7 M-1,0,0.03925,1541.5491
7 M-1,0,0.04,1540.088
7 M-1,0,0.04075,1536.1295
7 M-1,0,0.0415,1534.8615
7 M-1,0,0.04225,1534.2988
7 M-1,0,0.043,1532.4421
7 M-1,0,0.04375,1531.7614
7 M-1,0,0.0445,1525.0491
7 M-1,0,0.04525,1522.3723
7 M-1,0,0.046,1519.9442
7 M-1,0,0.04675,1519.7872
7 M-1,0,0.0475,1521.0999
7 M-1,0,0.04825,1519.4257
7 M-1,0,0.049,1520.1578
7 M-1,0,0.04975,1516.3991
7 M-1,0,0.0505,1512.5513
7 M-1,0,0.05125,1508.463
7 M-1,0,0.052,1506.6009
7 M-1,0,0.05275,1506.8501
7 M-1,0,0.0535,1506.6209
7 M-1,0,0.05425,1503.6978
7 M-1,0,0.055,1498.9256
7 M-1,0,0.05575,1493.4689
7 M-1,0,0.0565,1488.2791
7 M-1,0,0.05725,1483.338
7 M-1,0,0.058,1482.6128
7 M-1,0,0.05875,1482.3048
7 M-1,0,0.0595,1480.2565
7 M-1,0,0.06025,1474.9768
7 M-1,0,0.061,1465.0613
7 M-1,0,0.06175,1454.7684
7 M-1,0,0.0625,1447.0343
7 M-1,0,0.06325,1441.4304
7 M-1,0,0.064,1441.3208
7 M-1,0,0.06475,1443.7068
7 M-1,0,0.0655,1448.5317
7 M-1,0,0.06625,1448.2893
7 M-1,0,0.067,1443.1951
7 M-1,0,0.06775,1436.3543
7 M-1,0,0.0685,1431.951
7 M-1,0,0.06925,1433.0782
7 M-1,0,0.07,1438.6736
7 M-1,0,0.07075,1445.8465
7 M-1,0,0.0715,1453.0062
7 M-1,0,0.07225,1452.5927
7 M-1,0,0.073,1448.3168
7 M-1,0,0.07375,1438.6701
7 M-1,0,0.0745,1430.6055
7 M-1,0,0.07525,1426.5483
7 M-1,0,0.076,1424.4012
7 M-1,0,0.07675,1424.6286
7 M-1,0,0.0775,1423.6158
7 M-1,0,0.07825,1416.9478
7 M-1,0,0.079,1405.6374
7 M-1,0,0.07975,1391.9581
7 M-1,0,0.0805,1383.3999
7 M-1,0,0.08125,1378.8062
7 M-1,0,0.082,1380.4363
7 M-1,0,0.08275,1384.2024
7 M-1,0,0.0835,1387.7989
7 M-1,0,0.08425,1388.087
7 M-1,0,0.085,1383.2514
7 M-1,0,0.08575,1374.6437
7 M-1,0,0.0865,1365.771
7 M-1,0,0.08725,1363.525
7 M-1,0,0.088,1364.1544
7 M-1,0,0.08875,1368.4223
7 M-1,0,0.0895,1372.7754
7 M-1,0,0.09025,1376.0064
7 M-1,0,0.091,1379.0566
7 M-1,0,0.09175,1379.6868
7 M-1,0,0.0925,1377.4891
7 M-1,0,0.09325,1377.7205
7 M-1,0,0.094,1378.5994
7 M-1,0,0.09475,1382.3478
7 M-1,0,0.0955,1383.3959
7 M-1,0,0.09625,1383.0688
7 M-1,0,0.097,1377.2614
7 M-1,0,0.09775,1370.5926
7 M-1,0,0.0985,1363.9925
7 M-1,0,0.09925,1359.5189
7 M-1,0,0.1,1356.8104
7 M-1,0,0.10075,1355.8593
7 M-1,0,0.1015,1352.4781
7 M-1,0,0.10225,1346.1084
7 M-1,0,0.103,1336.9266
7 M-1,0,0.10375,1327.0867
7 M-1,0,0.1045,1318.8051
7 M-1,0,0.10525,1316.2907
7 M-1,0,0.106,1316.3871
7 M-1,0,0.10675,1313.9542
7 M-1,0,0.1075,1312.7987
7 M-1,0,0.10825,1308.978
7 M-1,0,0.109,1308.8773
7 M-1,0,0.10975,1306.9664
7 M-1,0,0.1105,1306.6133
7 M-1,0,0.11125,1302.9501
7 M-1,0,0.112,1301.2887
7 M-1,0,0.11275,1298.8339
7 M-1,0,0.1135,1295.2536
7 M-1,0,0.11425,1298.9191
7 M-1,0,0.115,1302.2124
7 M-1,0,0.11575,1311.2872
7 M-1,0,0.1165,1316.6342
7 M-1,0,0.11725,1318.776
7 M-1,0,0.118,1317.5273
7 M-1,0,0.11875,1311.9557
7 M-1,0,0.1195,1310.6428
7 M-1,0,0.12025,1304.6458
7 M-1,0,0.121,1305.2155
7 M-1,0,0.12175,1300.9918
7 M-1,0,0.1225,1296.9632
7 M-1,0,0.12325,1290.8003
7 M-1,0,0.124,1279.9365
7 M-1,0,0.12475,1269.8819
7 M-1,0,0.1255,1259.273
7 M-1,0,0.12625,1252.8912
7 M-1,0,0.127,1245.7984
7 M-1,0,0.12775,1240.9574
7 M-1,0,0.1285,1231.2577
7 M-1,0,0.12925,1223.4732
7 M-1,0,0.13,1221.157
7 M-1,0,0.13075,1222.0541
7 M-1,0,0.1315,1226.3394
7 M-1,0,0.13225,1231.6552
7 M-1,0,0.133,1234.2882
7 M-1,0,0.13375,1236.2521
7 M-1,0,0.1345,1234.1755
7 M-1,0,0.13525,1232.9221
7 M-1,0,0.136,1233.2166
7 M-1,0,0.13675,1237.7461
7 M-1,0,0.1375,1241.5682
7 M-1,0,0.13825,1243.8764
7 M-1,0,0.139,1241.325
7 M-1,0,0.13975,1237.2702
7 M-1,0,0.1405,1233.9495
7 M-1,0,0.14125,1231.623
7 M-1,0,0.142,1233.4539
7 M-1,0,0.14275,1234.4011
7 M-1,0,0.1435,1231.8138
7 M-1,0,0.14425,1225.7667
7 M-1,0,0.145,1216.2747
7 M-1,0,0.14575,1203.9369
7 M-1,0,0.1465,1194.6714
7 M-1,0,0.14725,1187.4592
7 M-1,0,0.148,1180.6754
7 M-1,0,0.14875,1174.3414
7 M-1,0,0.1495,1169.0845
7 M-1,0,0.15025,1165.708
7 M-1,0,0.151,1166.4695
7 M-1,0,0.15175,1169.1348
7 M-1,0,0.1525,1175.9204
7 M-1,0,0.15325,1184.0326
7 M-1,0,0.154,1189.6955
7 M-1,0,0.15475,1192.1531
7 M-1,0,0.1555,1191.1878
7 M-1,0,0.15625,1191.2074
7 M-1,0,0.157,1191.758
7 M-1,0,0.15775,1191.7171
7 M-1,0,0.1585,1189.5854
7 M-1,0,0.15925,1185.2862
7 M-1,0,0.16,1177.5366
7 M-1,0,0.16075,1167.406
7 M-1,0,0.1615,1154.8554
7 M-1,0,0.16225,1146.9344
7 M-1,0,0.163,1142.9882
7 M-1,0,0.16375,1142.5166
7 M-1,0,0.1645,1141.5216
7 M-1,0,0.16525,1139.8254
7 M-1,0,0.166,1136.5461
7 M-1,0,0.16675,1131.4318
7 M-1,0,0.1675,1125.3622
7 M-1,0,0.16825,1118.7087
7 M-1,0,0.169,1113.8949
7 M-1,0,0.16975,1107.394
7 M-1,0,0.1705,1104.3774
7 M-1,0,0.17125,1104.7699
7 M-1,0,0.172,1106.0135
7 M-1,0,0.17275,1111.3343
7 M-1,0,0.1735,1117.6971
7 M-1,0,0.17425,1124.0009
7 M-1,0,0.175,1126.7737
7 M-1,0,0.17575,1127.9051
7 M-1,0,0.1765,1127.4965
7 M-1,0,0.17725,1130.5818
7 M-1,0,0.178,1133.6497
7 M-1,0,0.17875,1131.8189
