sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pixel_count,probability,probability_density_per_degree
7d,0,0,2,2,1,0,0,0
7d,0,2,4,2,3,0,0,0
7d,0,4,6,2,5,1,2.7917130788966e-06,1.3958565394483e-06
7d,0,6,8,2,7,1,2.7917130788966e-06,1.3958565394483e-06
7d,0,8,10,2,9,0,0,0
7d,0,10,12,2,11,0,0,0
7d,0,12,14,2,13,1,2.7917130788966e-06,1.3958565394483e-06
7d,0,14,16,2,15,1,2.7917130788966e-06,1.3958565394483e-06
7d,0,16,18,2,17,0,0,0
7d,0,18,20,2,19,2,5.58342615779321e-06,2.7917130788966e-06
7d,0,20,22,2,21,0,0,0
7d,0,22,24,2,23,0,0,0
7d,0,24,26,2,25,47,0.00013121051470814,6.56052573540702e-05
7d,0,26,28,2,27,2,5.58342615779321e-06,2.7917130788966e-06
7d,0,28,30,2,29,106,0.00029592158636304,0.00014796079318152
7d,0,30,32,2,31,1,2.7917130788966e-06,1.3958565394483e-06
7d,0,32,34,2,33,3,8.37513923668981e-06,4.18756961834491e-06
7d,0,34,36,2,35,39,0.000108876810076968,5.44384050384838e-05
7d,0,36,38,2,37,265,0.0007398039659076,0.0003699019829538
7d,0,38,40,2,39,5,1.3958565394483e-05,6.97928269724151e-06
7d,0,40,42,2,41,18,5.02508354201389e-05,2.51254177100694e-05
7d,0,42,44,2,43,516,0.00144052394871065,0.000720261974355324
7d,0,44,46,2,45,411,0.0011473940754265,0.000573697037713252
7d,0,46,48,2,47,753,0.00210215994840914,0.00105107997420457
7d,0,48,50,2,49,522,0.00145727422718403,0.000728637113592013
7d,0,50,52,2,51,739,0.00206307596530459,0.00103153798265229
7d,0,52,54,2,53,573,0.00159965159420775,0.000799825797103877
7d,0,54,56,2,55,1454,0.00405915081671566,0.00202957540835783
7d,0,56,58,2,57,2444,0.0068229467648233,0.00341147338241165
7d,0,58,60,2,59,2617,0.00730591312747241,0.00365295656373621
7d,0,60,62,2,61,3482,0.00972074494071797,0.00486037247035899
7d,0,62,64,2,63,5930,0.0165548585578569,0.00827742927892843
7d,0,64,66,2,65,7946,0.0221829521249124,0.0110914760624562
7d,0,66,68,2,67,11204,0.0312783533359575,0.0156391766679788
7d,0,68,70,2,69,10535,0.0294106972861757,0.0147053486430879
7d,0,70,72,2,71,15988,0.0446339087053989,0.0223169543526994
7d,0,72,74,2,73,19561,0.0546086995362965,0.0273043497681482
7d,0,74,76,2,75,23910,0.0667498597164178,0.0333749298582089
7d,0,76,78,2,77,25445,0.0710351392925241,0.035517569646262
7d,0,78,80,2,79,30090,0.0840026465439988,0.0420013232719994
7d,0,80,82,2,81,29304,0.0818083600639861,0.040904180031993
7d,0,82,84,2,83,38112,0.106397768862907,0.0531988844314537
7d,0,84,86,2,85,41005,0.114474194800155,0.0572370974000776
7d,0,86,88,2,87,41577,0.116071054681284,0.058035527340642
7d,0,88,90,2,89,43593,0.12169914824834,0.0608495741241698
6.48d,14.31,0,2,2,1,3,8.56064216230407e-06,4.28032108115203e-06
6.48d,14.31,2,4,2,3,2,5.70709477486938e-06,2.85354738743469e-06
6.48d,14.31,4,6,2,5,2,5.70709477486938e-06,2.85354738743469e-06
6.48d,14.31,6,8,2,7,5,1.42677369371734e-05,7.13386846858672e-06
6.48d,14.31,8,10,2,9,8,2.28283790994775e-05,1.14141895497388e-05
6.48d,14.31,10,12,2,11,15,4.28032108115203e-05,2.14016054057602e-05
6.48d,14.31,12,14,2,13,6,1.71212843246081e-05,8.56064216230407e-06
6.48d,14.31,14,16,2,15,13,3.7096116036651e-05,1.85480580183255e-05
6.48d,14.31,16,18,2,17,21,5.99244951361285e-05,2.99622475680642e-05
6.48d,14.31,18,20,2,19,21,5.99244951361285e-05,2.99622475680642e-05
6.48d,14.31,20,22,2,21,48,0.000136970274596865,6.84851372984325e-05
6.48d,14.31,22,24,2,23,29,8.2752874235606e-05,4.1376437117803e-05
6.48d,14.31,24,26,2,25,55,0.000156945106308908,7.8472553154454e-05
6.48d,14.31,26,28,2,27,88,0.000251112170094253,0.000125556085047126
6.48d,14.31,28,30,2,29,64,0.00018262703279582,9.13135163979101e-05
6.48d,14.31,30,32,2,31,51,0.000145530916759169,7.27654583795846e-05
6.48d,14.31,32,34,2,33,44,0.000125556085047126,6.27780425235632e-05
6.48d,14.31,34,36,2,35,64,0.00018262703279582,9.13135163979101e-05
6.48d,14.31,36,38,2,37,132,0.000376668255141379,0.00018833412757069
6.48d,14.31,38,40,2,39,107,0.000305329570455512,0.000152664785227756
6.48d,14.31,40,42,2,41,90,0.000256819264869122,0.000128409632434561
6.48d,14.31,42,44,2,43,105,0.000299622475680642,0.000149811237840321
6.48d,14.31,44,46,2,45,117,0.000333865044329859,0.000166932522164929
6.48d,14.31,46,48,2,47,227,0.000647755256947674,0.000323877628473837
6.48d,14.31,48,50,2,49,255,0.000727654583795846,0.000363827291897923
6.48d,14.31,50,52,2,51,294,0.000838942931905799,0.000419471465952899
6.48d,14.31,52,54,2,53,358,0.00102156996470162,0.000510784982350809
6.48d,14.31,54,56,2,55,462,0.00131833889299483,0.000659169446497413
6.48d,14.31,56,58,2,57,633,0.00180629549624616,0.000903147748123079
