plot_type,sample,cold_reduction_percent,bin_lower,bin_upper,bin_center,frequency_percent
orientation_domain_ecd_number,7d,0,0,2,1,7.62658227848101
orientation_domain_ecd_number,7d,0,2,4,3,26.6772151898734
orientation_domain_ecd_number,7d,0,4,6,5,28.7974683544304
orientation_domain_ecd_number,7d,0,6,8,7,20.6962025316456
orientation_domain_ecd_number,7d,0,8,10,9,10.4746835443038
orientation_domain_ecd_number,7d,0,10,12,11,4.01898734177215
orientation_domain_ecd_number,7d,0,12,14,13,1.26582278481013
orientation_domain_ecd_number,7d,0,14,16,15,0.443037974683544
orientation_domain_ecd_number,7d,0,16,18,17,0
boundary_misorientation_length_weighted,7d,0,0,2,1,0
boundary_misorientation_length_weighted,7d,0,2,4,3,0.253796188755538
boundary_misorientation_length_weighted,7d,0,4,6,5,0.26670107970921
boundary_misorientation_length_weighted,7d,0,6,8,7,0.53340215941842
boundary_misorientation_length_weighted,7d,0,8,10,9,0.698297988270888
boundary_misorientation_length_weighted,7d,0,10,12,11,0.699731865043518
boundary_misorientation_length_weighted,7d,0,12,14,13,1.10265123815259
boundary_misorientation_length_weighted,7d,0,14,16,15,1.08831247042629
boundary_misorientation_length_weighted,7d,0,16,18,17,1.31343112372923
boundary_misorientation_length_weighted,7d,0,18,20,19,1.9299981359602
boundary_misorientation_length_weighted,7d,0,20,22,21,2.0776874435411
boundary_misorientation_length_weighted,7d,0,22,24,23,2.37449993547555
boundary_misorientation_length_weighted,7d,0,24,26,25,2.66987855063736
boundary_misorientation_length_weighted,7d,0,26,28,27,2.85628253107928
boundary_misorientation_length_weighted,7d,0,28,30,29,3.3423667570009
boundary_misorientation_length_weighted,7d,0,30,32,31,3.64921638634376
boundary_misorientation_length_weighted,7d,0,32,34,33,3.15596277655898
boundary_misorientation_length_weighted,7d,0,34,36,35,3.19324357264737
boundary_misorientation_length_weighted,7d,0,36,38,37,3.2376937525989
boundary_misorientation_length_weighted,7d,0,38,40,39,2.76164666408569
boundary_misorientation_length_weighted,7d,0,40,42,41,2.79749358340144
boundary_misorientation_length_weighted,7d,0,42,44,43,2.75877891054043
boundary_misorientation_length_weighted,7d,0,44,46,45,2.78028706212988
boundary_misorientation_length_weighted,7d,0,46,48,47,2.7860225692204
boundary_misorientation_length_weighted,7d,0,48,50,49,2.28416569879985
boundary_misorientation_length_weighted,7d,0,50,52,51,2.62973000100371
boundary_misorientation_length_weighted,7d,0,52,54,53,2.71432873058889
boundary_misorientation_length_weighted,7d,0,54,56,55,2.33865301615979
boundary_misorientation_length_weighted,7d,0,56,58,57,2.79462582985618
boundary_misorientation_length_weighted,7d,0,58,60,59,2.35729341420398
boundary_misorientation_length_weighted,7d,0,60,62,61,2.60965572618689
boundary_misorientation_length_weighted,7d,0,62,64,63,2.52649087337434
boundary_misorientation_length_weighted,7d,0,64,66,65,2.77885318535725
boundary_misorientation_length_weighted,7d,0,66,68,67,2.43328888315338
boundary_misorientation_length_weighted,7d,0,68,70,69,2.70285771640785
boundary_misorientation_length_weighted,7d,0,70,72,71,2.28990120589037
boundary_misorientation_length_weighted,7d,0,72,74,73,2.33578526261453
boundary_misorientation_length_weighted,7d,0,74,76,75,2.16372004989891
boundary_misorientation_length_weighted,7d,0,76,78,77,2.27556243816406
boundary_misorientation_length_weighted,7d,0,78,80,79,2.19383146212415
boundary_misorientation_length_weighted,7d,0,80,82,81,2.21677349048623
boundary_misorientation_length_weighted,7d,0,82,84,83,2.21103798339571
boundary_misorientation_length_weighted,7d,0,84,86,85,1.99595646750118
boundary_misorientation_length_weighted,7d,0,86,88,87,2.22394287434938
boundary_misorientation_length_weighted,7d,0,88,90,89,2.19526533889678
boundary_misorientation_length_weighted,7d,0,90,92,91,1.26611319023243
boundary_misorientation_length_weighted,7d,0,92,94,93,0.134784416627235
kam_pixel_frequency,7d,0,0,0.2,0.1,85.3509687055118
kam_pixel_frequency,7d,0,0.2,0.4,0.3,13.0587152730192
kam_pixel_frequency,7d,0,0.4,0.6,0.5,1.16630633301542
kam_pixel_frequency,7d,0,0.6,0.8,0.7,0.248364514080981
kam_pixel_frequency,7d,0,0.8,1,0.9,0.0766349964619244
kam_pixel_frequency,7d,0,1,1.2,1.1,0.0402753266077267
kam_pixel_frequency,7d,0,1.2,1.4,1.3,0.026290838202266
kam_pixel_frequency,7d,0,1.4,1.6,1.5,0.0145438679416791
kam_pixel_frequency,7d,0,1.6,1.8,1.7,0.0106282111881501
kam_pixel_frequency,7d,0,1.8,2,1.9,0.00587348513029348
kam_pixel_frequency,7d,0,2,2.2,2.1,0.00139844884054607
kam_pixel_frequency,7d,0,2.2,2.4,2.3,0
kam_pixel_frequency,7d,0,2.4,2.6,2.5,0
kam_pixel_frequency,7d,0,2.6,2.8,2.7,0
kam_pixel_frequency,7d,0,2.8,3,2.9,0
kam_pixel_frequency,7d,0,3,3.2,3.1,0
kam_pixel_frequency,7d,0,3.2,3.4,3.3,0
kam_pixel_frequency,7d,0,3.4,3.6,3.5,0
kam_pixel_frequency,7d,0,3.6,3.8,3.7,0
kam_pixel_frequency,7d,0,3.8,4,3.9,0
kam_pixel_frequency,7d,0,4,4.2,4.1,0
kam_pixel_frequency,7d,0,4.2,4.4,4.3,0
kam_pixel_frequency,7d,0,4.4,4.6,4.5,0
kam_pixel_frequency,7d,0,4.6,4.8,4.7,0
kam_pixel_frequency,7d,0,4.8,5,4.9,0
orientation_domain_ecd_number,6.48d,14.31,0,2,1,46.842906047927
orientation_domain_ecd_number,6.48d,14.31,2,4,3,25.0095093191327
orientation_domain_ecd_number,6.48d,14.31,4,6,5,11.6584252567516
orientation_domain_ecd_number,6.48d,14.31,6,8,7,8.84366679345759
orientation_domain_ecd_number,6.48d,14.31,8,10,9,4.62152909851655
orientation_domain_ecd_number,6.48d,14.31,10,12,11,2.37732978318752
orientation_domain_ecd_number,6.48d,14.31,12,14,13,0.513503233168505
orientation_domain_ecd_number,6.48d,14.31,14,16,15,0.095093191327501
orientation_domain_ecd_number,6.48d,14.31,16,18,17,0.0380372765310004
boundary_misorientation_length_weighted,6.48d,14.31,0,2,1,0
boundary_misorientation_length_weighted,6.48d,14.31,2,4,3,57.7619711418628
boundary_misorientation_length_weighted,6.48d,14.31,4,6,5,11.7518901802941
boundary_misorientation_length_weighted,6.48d,14.31,6,8,7,3.48125513510519
boundary_misorientation_length_weighted,6.48d,14.31,8,10,9,1.43090571716071
boundary_misorientation_length_weighted,6.48d,14.31,10,12,11,0.835925888315501
boundary_misorientation_length_weighted,6.48d,14.31,12,14,13,0.61898211829436
boundary_misorientation_length_weighted,6.48d,14.31,14,16,15,0.339724712203318
boundary_misorientation_length_weighted,6.48d,14.31,16,18,17,0.227560167277494
boundary_misorientation_length_weighted,6.48d,14.31,18,20,19,0.402499930762627
