sample,folder,input_file,cold_reduction_percent,detection_floor_deg,classification_angle_deg,min_pixel,boundary_network_estimator,eligible_boundary_sources,scan_unit,native_x_cell_count,native_y_cell_count,native_x_step_um,native_y_step_um,pixel_area_um2,mapped_pixel_count,mapped_area_um2,unindexed_pixel_count,indexed_ti_hex_pixel_count,indexed_ti_hex_area_um2,indexed_ti_hex_fraction_of_mapped_area,ti_hex_grain_count,inner_ti_ti_segment_count,inner_ti_ti_boundary_length_um,outer_ti_ti_segment_count,outer_ti_ti_boundary_length_um,audit_inner_lagb_segment_count,audit_inner_lagb_length_um,audit_inner_high_angle_segment_count,audit_inner_high_angle_length_um,audit_outer_low_angle_segment_count,audit_outer_low_angle_length_um,audit_outer_hagb_segment_count,audit_outer_hagb_length_um,source_network_segment_count,source_network_boundary_length_um,excluded_cross_class_segment_count,excluded_cross_class_boundary_length_um,native_ti_ti_endpoint_pair_count,nonlocal_ti_ti_endpoint_pair_count,max_ti_ti_endpoint_distance_um,eligible_segment_count,total_eligible_boundary_length_um,lagb_segment_count,hagb_segment_count,lagb_length_um,hagb_length_um,lagb_length_fraction,hagb_length_fraction,total_eligible_length_density_um_per_um2,lagb_length_density_um_per_um2,hagb_length_density_um_per_um2,weighted_mean_angle_deg,weighted_median_angle_deg,min_angle_deg,max_angle_deg
7d,d7,ebsd_sample_7_map_15.ctf,0,0.5,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,761,358203,89550.75,0.995008333333333,2829,8317,4158.5,66815,33407.5,8067,4033.5,250,125,0,0,66815,33407.5,75132,37566,250,125,75132,0,0.5,74882,37441,8067,66815,4033.5,33407.5,0.10772949440453,0.89227050559547,0.418098117547871,0.0450414988149178,0.373056618732953,47.1121094363447,46.585884795832,0.500039779573376,93.3008160830109
7d,d7,ebsd_sample_7_map_15.ctf,0,1,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,761,358203,89550.75,0.995008333333333,2829,3827,1913.5,66815,33407.5,3577,1788.5,250,125,0,0,66815,33407.5,70642,35321,250,125,70642,0,0.5,70392,35196,3577,66815,1788.5,33407.5,0.0508154335719968,0.949184566428003,0.393028534099379,0.0199719153664263,0.373056618732953,50.0770182815007,49.0083464030613,1.00026248651525,93.3008160830109
7d,d7,ebsd_sample_7_map_15.ctf,0,2,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,761,358203,89550.75,0.995008333333333,2829,3176,1588,66815,33407.5,2926,1463,250,125,0,0,66815,33407.5,69991,34995.5,250,125,69991,0,0.5,69741,34870.5,2926,66815,1463,33407.5,0.0419552343671585,0.958044765632841,0.389393723670656,0.0163371049377029,0.373056618732953,50.5319955027886,49.4396866495537,2.00709655400143,93.3008160830109
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,0.5,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,9075,350441,87610.25,0.973447222222222,2178,565504,282752,51655,25827.5,563247,281623.5,2257,1128.5,0,0,51655,25827.5,617159,308579.5,2257,1128.5,617159,0,0.5,614902,307451,563247,51655,281623.5,25827.5,0.915994743877886,0.0840052561221138,3.50930399125673,3.21450401066085,0.294799980595878,6.09776537648575,1.49764991864358,0.500002999591717,93.7682121949247
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,1,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,9075,350441,87610.25,0.973447222222222,2178,398338,199169,51655,25827.5,396081,198040.5,2257,1128.5,0,0,51655,25827.5,449993,224996.5,2257,1128.5,449993,0,0.5,447736,223868,396081,51655,198040.5,25827.5,0.884630675219326,0.115369324780674,2.55527178612092,2.26047180552504,0.294799980595878,8.09223223312359,1.94964396624826,1.00000010396679,93.7682121949247
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,2,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,9075,350441,87610.25,0.973447222222222,2178,167248,83624,51655,25827.5,164991,82495.5,2257,1128.5,0,0,51655,25827.5,218903,109451.5,2257,1128.5,218903,0,0.5,216646,108323,164991,51655,82495.5,25827.5,0.761569565096978,0.238430434903022,1.23641925459635,0.941619274000474,0.294799980595878,15.2011564062957,3.43312458567254,2.00001503246779,93.7682121949247
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,0.5,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,3618,355266,88816.5,0.98685,2335,489416,244708,57306,28653,488042,244021,1374,687,0,0,57306,28653,546722,273361,1374,687,546722,0,0.5,545348,272674,488042,57306,244021,28653,0.894918474075269,0.105081525924731,3.07008269859767,2.74747372391391,0.322608974683758,6.8297923668933,1.08882503534192,0.500001332960632,93.6255270920737
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,1,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,3618,355266,88816.5,0.98685,2335,246381,123190.5,57306,28653,245007,122503.5,1374,687,0,0,57306,28653,303687,151843.5,1374,687,303687,0,0.5,302313,151156.5,245007,57306,122503.5,28653,0.810441496065336,0.189558503934664,1.70189660704937,1.37928763236561,0.322608974683758,11.7330147013426,1.70269314597932,1.00000163183116,93.6255270920737
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,2,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,3618,355266,88816.5,0.98685,2335,67254,33627,57306,28653,65880,32940,1374,687,0,0,57306,28653,124560,62280,1374,687,124560,0,0.5,123186,61593,65880,57306,32940,28653,0.534801032584872,0.465198967415128,0.693486007667494,0.370877032983736,0.322608974683758,26.7972325525803,6.64470334527062,2.00000626836153,93.6255270920737
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,0.5,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,23279,335389,83847.25,0.931636111111111,2042,555572,277786,38637,19318.5,552782,276391,2790,1395,0,0,38637,19318.5,594209,297104.5,2790,1395,594209,0,0.5,591419,295709.5,552782,38637,276391,19318.5,0.934670681868523,0.065329318131477,3.52676444367585,3.29636332736017,0.230401116315681,5.54978670481225,1.79275324983395,0.50000218200569,93.2985969587528
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,1,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,23279,335389,83847.25,0.931636111111111,2042,442997,221498.5,38637,19318.5,440207,220103.5,2790,1395,0,0,38637,19318.5,481634,240817,2790,1395,481634,0,0.5,478844,239422,440207,38637,220103.5,19318.5,0.919311926222319,0.0806880737776813,2.85545441263727,2.62505329632158,0.230401116315681,6.67368390147344,2.13953918715356,1.00000438970408,93.2985969587528
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,2,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,23279,335389,83847.25,0.931636111111111,2042,224582,112291,38637,19318.5,221792,110896,2790,1395,0,0,38637,19318.5,263219,131609.5,2790,1395,263219,0,0.5,260429,130214.5,221792,38637,110896,19318.5,0.851640946284784,0.148359053715216,1.55299666953895,1.32259555322327,0.230401116315681,11.0487293645463,3.32160527814456,2.00000591789594,93.2985969587528
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,0.5,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,41285,317224,79306,0.881177777777778,1972,519324,259662,30264,15132,513976,256988,5348,2674,0,0,30264,15132,549588,274794,5348,2674,549588,0,0.5,544240,272120,513976,30264,256988,15132,0.944392179920623,0.0556078200793767,3.43126623458503,3.24046099916778,0.190805235417245,5.50788246916374,2.26926247295152,0.500018367028261,93.4475912734003
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,1,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,41285,317224,79306,0.881177777777778,1972,453115,226557.5,30264,15132,447767,223883.5,5348,2674,0,0,30264,15132,483379,241689.5,5348,2674,483379,0,0.5,478031,239015.5,447767,30264,223883.5,15132,0.936690298327933,0.0633097016720673,3.01383880160391,2.82303356618667,0.190805235417245,6.16311844127093,2.54937953759123,1.00000853461805,93.4475912734003
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,2,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,41285,317224,79306,0.881177777777778,1972,283684,141842,30264,15132,278336,139168,5348,2674,0,0,30264,15132,313948,156974,5348,2674,313948,0,0.5,308600,154300,278336,30264,139168,15132,0.901931302657161,0.0980686973428386,1.94562832572567,1.75482309030843,0.190805235417245,8.73045272650548,3.57148777628134,2.00001965322066,93.4475912734003
