sample,folder,input_file,cold_reduction_percent,detection_floor_deg,reconstruction_upper_angle_deg,classification_angle_deg,min_pixel,boundary_network_estimator,eligible_boundary_sources,scan_unit,native_x_cell_count,native_y_cell_count,native_x_step_um,native_y_step_um,pixel_area_um2,mapped_pixel_count,mapped_area_um2,unindexed_pixel_count,indexed_ti_hex_pixel_count,indexed_ti_hex_area_um2,ti_hex_grain_count,source_network_segment_count,source_network_boundary_length_um,eligible_segment_count,total_eligible_boundary_length_um,native_ti_ti_endpoint_pair_count,nonlocal_ti_ti_endpoint_pair_count,max_ti_ti_endpoint_distance_um,lagb_segment_count,hagb_segment_count,lagb_length_um,hagb_length_um,lagb_length_fraction,hagb_length_fraction,total_eligible_length_density_um_per_um2,lagb_length_density_um_per_um2,hagb_length_density_um_per_um2,weighted_mean_angle_deg,weighted_median_angle_deg,min_angle_deg,max_angle_deg
7d,d7,ebsd_sample_7_map_15.ctf,0,2,15,5,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,761,358203,89550.75,2829,69991,34995.5,69741,34870.5,69991,0,0.5,241,69500,120.5,34750,0.00345564302203869,0.996544356977961,0.389393723670656,0.00134560570402816,0.388048117966628,50.5319955027886,49.4396866495537,2.00709655400143,93.3008160830109
7d,d7,ebsd_sample_7_map_15.ctf,0,2,15,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,761,358203,89550.75,2829,69991,34995.5,69741,34870.5,69991,0,0.5,2926,66815,1463,33407.5,0.0419552343671585,0.958044765632841,0.389393723670656,0.0163371049377029,0.373056618732953,50.5319955027886,49.4396866495537,2.00709655400143,93.3008160830109
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,2,15,5,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,9075,350441,87610.25,2178,218903,109451.5,216646,108323,218903,0,0.5,141910,74736,70955,37368,0.655031710717022,0.344968289282978,1.23641925459635,0.809893819501714,0.426525435094638,15.2011564062957,3.43312458567254,2.00001503246779,93.7682121949247
6.48d,d6_48,ebsd_sample_648_map_13.ctf,14.31,2,15,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,9075,350441,87610.25,2178,218903,109451.5,216646,108323,218903,0,0.5,164991,51655,82495.5,25827.5,0.761569565096978,0.238430434903022,1.23641925459635,0.941619274000474,0.294799980595878,15.2011564062957,3.43312458567254,2.00001503246779,93.7682121949247
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,2,15,5,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,3618,355266,88816.5,2335,124560,62280,123186,61593,124560,0,0.5,58421,64765,29210.5,32382.5,0.474250320653321,0.525749679346679,0.693486007667494,0.328885961504901,0.364600046162594,26.7972325525803,6.64470334527062,2.00000626836153,93.6255270920737
6.02d,d6_02,ebsd_sample_602_map_11.ctf,26.04,2,15,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,3618,355266,88816.5,2335,124560,62280,123186,61593,124560,0,0.5,65880,57306,32940,28653,0.534801032584872,0.465198967415128,0.693486007667494,0.370877032983736,0.322608974683758,26.7972325525803,6.64470334527062,2.00000626836153,93.6255270920737
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,2,15,5,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,23279,335389,83847.25,2042,263219,131609.5,260429,130214.5,263219,0,0.5,185329,75100,92664.5,37550,0.711629657219434,0.288370342780566,1.55299666953895,1.10515848760693,0.447838181932025,11.0487293645463,3.32160527814456,2.00000591789594,93.2985969587528
5.6d,d5_6,ebsd_sample_56_map_9.ctf,36,2,15,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,23279,335389,83847.25,2042,263219,131609.5,260429,130214.5,263219,0,0.5,221792,38637,110896,19318.5,0.851640946284784,0.148359053715216,1.55299666953895,1.32259555322327,0.230401116315681,11.0487293645463,3.32160527814456,2.00000591789594,93.2985969587528
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,2,15,5,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,41285,317224,79306,1972,313948,156974,308600,154300,313948,0,0.5,214776,93824,107388,46912,0.695968891769281,0.304031108230719,1.94562832572567,1.35409678965022,0.591531536075455,8.73045272650548,3.57148777628134,2.00001965322066,93.4475912734003
5.25d,d5_25,ebsd_sample_525_map_7.ctf,43.75,2,15,15,5,MTEX thresholded Ti-Hex/Ti-Hex boundary-segment network,innerBoundary LAGB + grains.boundary HAGB,um,600,600,0.5,0.5,0.25,360000,90000,41285,317224,79306,1972,313948,156974,308600,154300,313948,0,0.5,278336,30264,139168,15132,0.901931302657161,0.0980686973428386,1.94562832572567,1.75482309030843,0.190805235417245,8.73045272650548,3.57148777628134,2.00001965322066,93.4475912734003
