sample,diameter_mm,cold_reduction_percent,bin_lower_um,bin_upper_um,bin_center_um,number_frequency_percent,area_weighted_frequency_percent,number_lognormal_fit_percent_per_bin,area_lognormal_fit_percent_per_bin,hagb_threshold_deg,min_grain_pixels
7d,7,0,0,2,1,7.21102863202545,0.472877365085934,2.11204717041843,0.00142321090778183,15,5
7d,7,0,2,4,3,25.5567338282078,6.06630909568845,32.3621396858002,4.77626937606321,15,5
7d,7,0,4,6,5,27.3241428066455,17.2825351372211,29.1542714613027,21.2977552846118,15,5
7d,7,0,6,8,7,20.6433368681513,24.5759204469824,16.9043919498377,25.8596456524365,15,5
7d,7,0,8,10,9,11.417462000707,22.3337378844401,8.79083557019,19.8458274347149,15,5
7d,7,0,10,12,11,4.77200424178155,13.8720015212613,4.48208233285979,12.4923366288671,15,5
7d,7,0,12,14,13,1.76740897843761,7.32582396993272,2.30870809527658,7.16653969467429,15,5
7d,7,0,14,16,15,0.919052668787557,5.03973735871006,1.21441766877584,3.9366337121656,15,5
7d,7,0,16,18,17,0.212089077412513,1.49777124033132,0.654604779151379,2.12380981248031,15,5
7d,7,0,18,20,19,0.141392718275009,1.18037572917074,0.361743559844198,1.14099652521401,15,5
7d,7,0,20,22,21,0.0353481795687522,0.352910251175901,0.204777353430583,0.615195210201168,15,5
7d,7,0,22,24,23,0,0,0.118590768546907,0.334373928671914,15,5
7d,7,0,24,26,25,0,0,0.0701561074631174,0.183668470503609,15,5
7d,7,0,26,28,27,0,0,0.0423333268300542,0.102096406916705,15,5
7d,7,0,28,30,29,0,0,0.0260188756364815,0.0574704886243549,15,5
7d,7,0,30,32,31,0,0,0.0162672383764364,0.032766750002355,15,5
7d,7,0,32,34,33,0,0,0.0103332061226613,0.01892140810049,15,5
7d,7,0,34,36,35,0,0,0.00666154863928407,0.0110639385063638,15,5
7d,7,0,36,38,37,0,0,0.00435412037340021,0.00654881390899416,15,5
6.48d,6.48,14.31,0,2,1,8.03489439853076,0.394568942033349,2.8552013619314,0.000665779550644398,15,5
6.48d,6.48,14.31,2,4,3,22.3599632690542,4.28548898160494,28.272683593173,2.57301952908999,15,5
6.48d,6.48,14.31,4,6,5,22.4058769513315,11.0774656974494,26.3921238081492,14.4763701794265,15,5
6.48d,6.48,14.31,6,8,7,20.1561065197429,19.2659182473798,17.0164680512414,21.7063900974353,15,5
6.48d,6.48,14.31,8,10,9,13.1313131313131,20.7636170731358,9.99875264992676,20.0956438743352,15,5
6.48d,6.48,14.31,10,12,11,7.3921028466483,17.2248268742742,5.77007425000299,14.9665709992345,15,5
6.48d,6.48,14.31,12,14,13,3.81083562901745,12.2760835591495,3.35418766167539,10.0002848017178,15,5
6.48d,6.48,14.31,14,16,15,1.60697887970615,6.90294923079129,1.98228458812739,6.31638886581747,15,5
6.48d,6.48,14.31,16,18,17,0.367309458218549,2.14862287983713,1.19466940138884,3.87667069808475,15,5
6.48d,6.48,14.31,18,20,19,0.505050505050505,3.5786485440234,0.734608334969854,2.34805859849254,15,5
6.48d,6.48,14.31,20,22,21,0.137741046831956,1.12377593301504,0.460618807982637,1.41633440808071,15,5
6.48d,6.48,14.31,22,24,23,0.0918273645546373,0.958034037306264,0.294213716701722,0.85547902219801,15,5
6.48d,6.48,14.31,24,26,25,0,0,0.191210389992062,0.519151213706346,15,5
6.48d,6.48,14.31,26,28,27,0,0,0.126291208197848,0.317180866708713,15,5
6.48d,6.48,14.31,28,30,29,0,0,0.0846749215863334,0.195334863090791,15,5
6.48d,6.48,14.31,30,32,31,0,0,0.0575700227941297,0.121342852539929,15,5
6.48d,6.48,14.31,32,34,33,0,0,0.0396528499278631,0.0760611545900289,15,5
6.48d,6.48,14.31,34,36,35,0,0,0.0276440618336071,0.0481149753331948,15,5
6.48d,6.48,14.31,36,38,37,0,0,0.0194906541486318,0.0307153743718784,15,5
6.02d,6.02,26.04,0,2,1,6.89507494646681,0.378145450543372,2.07610494164759,0.000651017535286711,15,5
6.02d,6.02,26.04,2,4,3,22.6552462526767,4.49315810712804,28.5687836359525,2.91873821093338,15,5
6.02d,6.02,26.04,4,6,5,25.1391862955032,13.1662344332475,27.7035069817266,16.1222627119884,15,5
6.02d,6.02,26.04,6,8,7,19.4432548179872,19.5735422351783,17.600006389273,23.1700221409151,15,5
6.02d,6.02,26.04,8,10,9,13.576017130621,22.5594803039838,10.0190796420738,20.4575908003074,15,5
6.02d,6.02,26.04,10,12,11,7.06638115631692,17.3667531133505,5.5663237957231,14.52940819359,15,5
6.02d,6.02,26.04,12,14,13,3.16916488222698,10.9665002638552,3.10822996146503,9.27105719114453,15,5
6.02d,6.02,26.04,14,16,15,1.19914346895075,5.50596707876996,1.76376031782925,5.60268349276549,15,5
6.02d,6.02,26.04,16,18,17,0.471092077087794,2.71672108386645,1.02104114608513,3.29648507663246,15,5
6.02d,6.02,26.04,18,20,19,0.256959314775161,1.86335403726708,0.603563912396198,1.91775640451979,15,5
6.02d,6.02,26.04,20,22,21,0.0428265524625268,0.388022383953087,0.364177264455542,1.11306289578695,15,5
6.02d,6.02,26.04,22,24,23,0.0428265524625268,0.463087077866921,0.224079763890529,0.647967274226687,15,5
6.02d,6.02,26.04,24,26,25,0.0428265524625268,0.559034430989866,0.140440184491832,0.379569875301547,15,5
6.02d,6.02,26.04,26,28,27,0,0,0.0895483398550189,0.224166503389324,15,5
6.02d,6.02,26.04,28,30,29,0,0,0.0580220839556317,0.133620437323578,15,5
6.02d,6.02,26.04,30,32,31,0,0,0.0381610338951112,0.0804371387577748,15,5
6.02d,6.02,26.04,32,34,33,0,0,0.0254503886164048,0.0489142329894933,15,5
6.02d,6.02,26.04,34,36,35,0,0,0.0171952636697454,0.0300488516589843,15,5
6.02d,6.02,26.04,36,38,37,0,0,0.0117595594635915,0.0186462869952492,15,5
5.6d,5.6,36,0,2,1,11.0186092066601,0.534118357487923,5.4000630262145,0.00103231534235225,15,5
5.6d,5.6,36,2,4,3,22.1841332027424,3.96527777777778,29.4239311135399,2.53131684496909,15,5
5.6d,5.6,36,4,6,5,21.5475024485798,10.5486111111111,24.5153572665774,13.3463964742336,15,5
5.6d,5.6,36,6,8,7,18.3153770812929,17.3644323671498,15.5247309774149,20.1741973408411,15,5
