sample,cold_reduction_percent,bin_lower_deg,bin_upper_deg,bin_width_deg,bin_center_deg,pair_count,probability,probability_density_per_degree,cumulative_probability
7d,0,0,0.1,0.1,0.05,292490,0.410808062506759,4.10808062506759,0.410808062506759
7d,0,0.1,0.2,0.1,0.15,243942,0.342621424267578,3.42621424267578,0.753429486774337
7d,0,0.2,0.3,0.1,0.25,73028,0.1025692884842,1.025692884842,0.855998775258537
7d,0,0.3,0.4,0.1,0.35,19374,0.0272111709904816,0.272111709904816,0.883209946249019
7d,0,0.4,0.5,0.1,0.45,6280,0.00882038576547044,0.0882038576547044,0.892030332014489
7d,0,0.5,0.6,0.1,0.55,2413,0.00338910682357964,0.0338910682357964,0.895419438838069
7d,0,0.6,0.7,0.1,0.65,1047,0.00147053246758719,0.0147053246758719,0.896889971305656
7d,0,0.7,0.8,0.1,0.75,543,0.000762654374307396,0.00762654374307396,0.897652625679963
7d,0,0.8,0.9,0.1,0.85,314,0.000441019288273522,0.00441019288273522,0.898093644968237
7d,0,0.9,1,0.1,0.95,193,0.000271072365085318,0.00271072365085318,0.898364717333322
7d,0,1,1.1,0.1,1.05,147,0.000206464443873273,0.00206464443873273,0.898571181777195
7d,0,1.1,1.2,0.1,1.15,102,0.000143261042687577,0.00143261042687577,0.898714442819883
7d,0,1.2,1.3,0.0999999999999999,1.25,96,0.000134833922529484,0.00134833922529485,0.898849276742412
7d,0,1.3,1.4,0.1,1.35,78,0.000109552562055206,0.00109552562055206,0.898958829304468
7d,0,1.4,1.5,0.0999999999999999,1.45,60,8.42712015809277e-05,0.000842712015809278,0.899043100506049
7d,0,1.5,1.6,0.1,1.55,48,6.74169612647422e-05,0.000674169612647421,0.899110517467313
7d,0,1.6,1.7,0.1,1.65,46,6.46079212120446e-05,0.000646079212120445,0.899175125388525
7d,0,1.7,1.8,0.0999999999999999,1.75,29,4.07310807641151e-05,0.000407310807641151,0.899215856469289
7d,0,1.8,1.9,0.1,1.85,23,3.23039606060223e-05,0.000323039606060223,0.899248160429896
7d,0,1.9,2,0.0999999999999999,1.95,25,3.51130006587199e-05,0.000351130006587199,0.899283273430554
7d,0,2,2.1,0.1,2.05,23,3.23039606060223e-05,0.000323039606060223,0.89931557739116
7d,0,2.1,2.2,0.1,2.15,11,1.54497202898368e-05,0.000154497202898367,0.89933102711145
7d,0,2.2,2.3,0.1,2.25,15,2.10678003952319e-05,0.000210678003952319,0.899352094911845
7d,0,2.3,2.4,0.1,2.35,9,1.26406802371392e-05,0.000126406802371391,0.899364735592083
7d,0,2.4,2.5,0.0999999999999996,2.45,12,1.68542403161855e-05,0.000168542403161856,0.899381589832399
7d,0,2.5,2.6,0.1,2.55,7,9.83164018444157e-06,9.83164018444156e-05,0.899391421472583
7d,0,2.6,2.7,0.1,2.65,5,7.02260013174398e-06,7.02260013174397e-05,0.899398444072715
7d,0,2.7,2.8,0.1,2.75,12,1.68542403161855e-05,0.000168542403161855,0.899415298313031
7d,0,2.8,2.9,0.1,2.85,6,8.42712015809277e-06,8.42712015809277e-05,0.899423725433189
7d,0,2.9,3,0.0999999999999996,2.95,5,7.02260013174398e-06,7.022600131744e-05,0.899430748033321
7d,0,3,3.1,0.1,3.05,12,1.68542403161855e-05,0.000168542403161855,0.899447602273637
7d,0,3.1,3.2,0.1,3.15,9,1.26406802371392e-05,0.000126406802371391,0.899460242953874
7d,0,3.2,3.3,0.1,3.25,5,7.02260013174398e-06,7.02260013174397e-05,0.899467265554006
7d,0,3.3,3.4,0.1,3.35,9,1.26406802371392e-05,0.000126406802371391,0.899479906234243
7d,0,3.4,3.5,0.0999999999999996,3.45,4,5.61808010539518e-06,5.6180801053952e-05,0.899485524314348
7d,0,3.5,3.6,0.1,3.55,6,8.42712015809277e-06,8.42712015809277e-05,0.899493951434507
7d,0,3.6,3.7,0.1,3.65,4,5.61808010539518e-06,5.61808010539518e-05,0.899499569514612
7d,0,3.7,3.8,0.1,3.75,5,7.02260013174398e-06,7.02260013174397e-05,0.899506592114744
7d,0,3.8,3.9,0.1,3.85,8,1.12361602107904e-05,0.000112361602107904,0.899517828274954
7d,0,3.9,4,0.0999999999999996,3.95,10,1.4045200263488e-05,0.00014045200263488,0.899531873475218
7d,0,4,4.1,0.100000000000001,4.05,1,1.4045200263488e-06,1.40452002634879e-05,0.899533277995244
7d,0,4.1,4.2,0.0999999999999996,4.15,7,9.83164018444157e-06,9.83164018444161e-05,0.899543109635429
7d,0,4.2,4.3,0.0999999999999996,4.25,6,8.42712015809277e-06,8.4271201580928e-05,0.899551536755587
7d,0,4.3,4.4,0.100000000000001,4.35,5,7.02260013174398e-06,7.02260013174394e-05,0.899558559355719
7d,0,4.4,4.5,0.0999999999999996,4.45,3,4.21356007904639e-06,4.2135600790464e-05,0.899562772915798
7d,0,4.5,4.6,0.100000000000001,4.55,10,1.4045200263488e-05,0.000140452002634879,0.899576818116061
7d,0,4.6,4.7,0.0999999999999996,4.65,6,8.42712015809277e-06,8.4271201580928e-05,0.899585245236219
7d,0,4.7,4.8,0.100000000000001,4.75,6,8.42712015809277e-06,8.42712015809273e-05,0.899593672356377
7d,0,4.8,4.9,0.0999999999999996,4.85,12,1.68542403161855e-05,0.000168542403161856,0.899610526596694
7d,0,4.9,5,0.0999999999999996,4.95,8,1.12361602107904e-05,0.000112361602107904,0.899621762756904
7d,0,5,5.1,0.100000000000001,5.05,6,8.42712015809277e-06,8.42712015809273e-05,0.899630189877063
7d,0,5.1,5.2,0.0999999999999996,5.15,1,1.4045200263488e-06,1.4045200263488e-05,0.899631594397089
7d,0,5.2,5.3,0.100000000000001,5.25,3,4.21356007904639e-06,4.21356007904636e-05,0.899635807957168
7d,0,5.3,5.4,0.0999999999999996,5.35,12,1.68542403161855e-05,0.000168542403161856,0.899652662197484
7d,0,5.4,5.5,0.0999999999999996,5.45,20,2.80904005269759e-05,0.00028090400526976,0.899680752598011
7d,0,5.5,5.6,0.100000000000001,5.55,36,5.05627209485566e-05,0.000505627209485564,0.89973131531896
7d,0,5.6,5.7,0.0999999999999996,5.65,16,2.24723204215807e-05,0.000224723204215808,0.899753787639381
7d,0,5.7,5.8,0.100000000000001,5.75,19,2.66858805006271e-05,0.00026685880500627,0.899780473519882
