sample,diameter_mm,cold_reduction_percent,input_path,valid_ti_hex_orientation_count,crystal_symmetry,rotational_fundamental_zone,specimen_symmetry,kernel_halfwidth_deg,grid_resolution_deg,phi2_deg,section_maximum_mrd,global_color_limit_max_mrd
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,0,7.71943048982834,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,10,9.89035261390408,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,20,7.11661857694023,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,30,6.14308603723497,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,40,6.71495746936457,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,50,6.09491502901765,10.4912388697768
7d,7,0,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d7\ebsd_sample_7_map_15.ctf,358203,6/mmm,622,1,5,5,60,7.71943048982834,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,0,8.71699374087264,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,10,7.92910762022762,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,20,7.46509700514659,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,30,7.23582893596854,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,40,7.02687063463191,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,50,7.22130562733741,10.4912388697768
6.48d,6.48,14.31,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_48\ebsd_sample_648_map_13.ctf,350441,6/mmm,622,1,5,5,60,8.71699374087262,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,0,7.16900270789942,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,10,6.64853814431913,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,20,6.8476466888509,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,30,7.11477704995031,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,40,7.16078274470732,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,50,7.0696513535344,10.4912388697768
6.02d,6.02,26.04,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d6_02\ebsd_sample_602_map_11.ctf,355266,6/mmm,622,1,5,5,60,7.16900270789942,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,0,7.58369948268016,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,10,7.74574847172371,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,20,7.52153620604537,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,30,6.68215080730056,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,40,7.15763559211571,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,50,7.34539254598601,10.4912388697768
5.6d,5.6,36,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_6\ebsd_sample_56_map_9.ctf,335389,6/mmm,622,1,5,5,60,7.58369948268017,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,0,10.4912388697768,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,10,10.1056799333868,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,20,9.12862431954658,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,30,9.24422938827833,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,40,9.09243576871687,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,50,9.6122139159043,10.4912388697768
5.25d,5.25,43.75,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5_25\ebsd_sample_525_map_7.ctf,317224,6/mmm,622,1,5,5,60,10.4912388697768,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,0,8.52463479098233,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,10,8.44766752047349,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,20,6.79819060707865,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,30,6.79819060707864,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,40,6.79819060707864,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,50,7.23158750638486,10.4912388697768
5d,5,48.98,C:\Users\Admin\Desktop\GithubRepo\work_hardening_paper-odf-sections\data\ebsd_kpl_250221_7_df\scans\d5\ebsd_sample_5_map_3.ctf,328099,6/mmm,622,1,5,5,60,8.52463479098232,10.4912388697768
