sample,diameter_mm,cold_reduction_percent,phi2_deg,section_peak_mrd,phi1_peak_deg,Phi_peak_deg,section_grid_resolution_deg,global_color_limit_max_mrd
7d,7,0,0,7.8128772738857,354,89,1,10.7577898869387
7d,7,0,30,6.4857733666828,357,64,1,10.7577898869387
7d,7,0,60,7.81287727388572,354,89,1,10.7577898869387
6.48d,6.48,14.31,0,8.82482852098743,2,34,1,10.7577898869387
6.48d,6.48,14.31,30,7.56216692787373,335,8,1,10.7577898869387
6.48d,6.48,14.31,60,8.82482852098742,2,34,1,10.7577898869387
6.02d,6.02,26.04,0,7.31813566795561,350,42,1,10.7577898869387
6.02d,6.02,26.04,30,7.26365429543329,271,9,1,10.7577898869387
6.02d,6.02,26.04,60,7.31813566795562,350,42,1,10.7577898869387
5.6d,5.6,36,0,7.61850635262096,0,14,1,10.7577898869387
5.6d,5.6,36,30,6.72806039363222,29,10,1,10.7577898869387
5.6d,5.6,36,60,7.61850635262096,0,14,1,10.7577898869387
5.25d,5.25,43.75,0,10.6030456084814,4,40,1,10.7577898869387
5.25d,5.25,43.75,30,9.42813463882015,33,9,1,10.7577898869387
5.25d,5.25,43.75,60,10.6030456084814,4,40,1,10.7577898869387
5d,5,48.98,0,8.89539649872483,12,80,1,10.7577898869387
5d,5,48.98,30,6.87141218440436,330,2,1,10.7577898869387
5d,5,48.98,60,8.89539649872483,12,80,1,10.7577898869387
