plot_type,sample,cold_reduction_percent,bin_lower,bin_upper,bin_center,frequency_percent
grain_size_number,7d,0,0,2,1,7.21102863202545
grain_size_number,7d,0,2,4,3,25.5567338282078
grain_size_number,7d,0,4,6,5,27.3241428066455
grain_size_number,7d,0,6,8,7,20.6433368681513
grain_size_number,7d,0,8,10,9,11.417462000707
grain_size_number,7d,0,10,12,11,4.77200424178155
grain_size_number,7d,0,12,14,13,1.76740897843761
grain_size_number,7d,0,14,16,15,0.919052668787557
grain_size_number,7d,0,16,18,17,0.212089077412513
grain_size_number,7d,0,18,20,19,0.141392718275009
grain_size_number,7d,0,20,22,21,0.0353481795687522
grain_size_number,7d,0,22,24,23,0
grain_size_number,7d,0,24,26,25,0
grain_size_number,7d,0,26,28,27,0
boundary_length_weighted,7d,0,0,2,1,0
boundary_length_weighted,7d,0,2,4,3,0.257402129020999
boundary_length_weighted,7d,0,4,6,5,0.270490372869525
boundary_length_weighted,7d,0,6,8,7,0.54098074573905
boundary_length_weighted,7d,0,8,10,9,0.708219417136874
boundary_length_weighted,7d,0,10,12,11,0.709673666453377
boundary_length_weighted,7d,0,12,14,13,1.11831772439067
boundary_length_weighted,7d,0,14,16,15,1.10377523122564
boundary_length_weighted,7d,0,16,18,17,1.33209237391658
boundary_length_weighted,7d,0,18,20,19,1.9574195800128
boundary_length_weighted,7d,0,20,22,21,2.10720725961259
boundary_length_weighted,7d,0,22,24,23,2.40823686812867
boundary_length_weighted,7d,0,24,26,25,2.70781222732825
boundary_length_weighted,7d,0,26,28,27,2.89686463847362
boundary_length_weighted,7d,0,28,30,29,3.38985515676808
boundary_length_weighted,7d,0,30,32,31,3.70106451049968
boundary_length_weighted,7d,0,32,34,33,3.20080274562271
boundary_length_weighted,7d,0,34,36,35,3.23861322785178
boundary_length_weighted,7d,0,36,38,37,3.28369495666337
boundary_length_weighted,7d,0,38,40,39,2.80088418358443
boundary_length_weighted,7d,0,40,42,41,2.837240416497
boundary_length_weighted,7d,0,42,44,43,2.79797568495143
boundary_length_weighted,7d,0,44,46,45,2.81978942469897
boundary_length_weighted,7d,0,46,48,47,2.82560642196498
boundary_length_weighted,7d,0,48,50,49,2.31661916118899
boundary_length_weighted,7d,0,50,52,51,2.66709324646617
boundary_length_weighted,7d,0,52,54,53,2.75289395613984
boundary_length_weighted,7d,0,54,56,55,2.3718806352161
boundary_length_weighted,7d,0,56,58,57,2.834331917864
boundary_length_weighted,7d,0,58,60,59,2.39078587633064
boundary_length_weighted,7d,0,60,62,61,2.64673375603513
boundary_length_weighted,7d,0,62,64,63,2.56238729567797
boundary_length_weighted,7d,0,64,66,65,2.81833517538247
boundary_length_weighted,7d,0,66,68,67,2.46786109010529
boundary_length_weighted,7d,0,68,70,69,2.74125996160782
boundary_length_weighted,7d,0,70,72,71,2.32243615845501
boundary_length_weighted,7d,0,72,74,73,2.3689721365831
boundary_length_weighted,7d,0,74,76,75,2.19446221860276
boundary_length_weighted,7d,0,76,78,77,2.30789366528998
boundary_length_weighted,7d,0,78,80,79,2.22500145424932
boundary_length_weighted,7d,0,80,82,81,2.24826944331336
boundary_length_weighted,7d,0,82,84,83,2.24245244604735
boundary_length_weighted,7d,0,84,86,85,2.02431504857193
boundary_length_weighted,7d,0,86,88,87,2.25554068989588
boundary_length_weighted,7d,0,88,90,89,2.22645570356582
kam_pixel_frequency,7d,0,0,0.2,0.1,85.3509687055118
kam_pixel_frequency,7d,0,0.2,0.4,0.3,13.0587152730192
kam_pixel_frequency,7d,0,0.4,0.6,0.5,1.16630633301542
kam_pixel_frequency,7d,0,0.6,0.8,0.7,0.248364514080981
kam_pixel_frequency,7d,0,0.8,1,0.9,0.0766349964619244
kam_pixel_frequency,7d,0,1,1.2,1.1,0.0402753266077267
kam_pixel_frequency,7d,0,1.2,1.4,1.3,0.026290838202266
kam_pixel_frequency,7d,0,1.4,1.6,1.5,0.0145438679416791
kam_pixel_frequency,7d,0,1.6,1.8,1.7,0.0106282111881501
kam_pixel_frequency,7d,0,1.8,2,1.9,0.00587348513029348
kam_pixel_frequency,7d,0,2,2.2,2.1,0.00139844884054607
kam_pixel_frequency,7d,0,2.2,2.4,2.3,0
kam_pixel_frequency,7d,0,2.4,2.6,2.5,0
kam_pixel_frequency,7d,0,2.6,2.8,2.7,0
kam_pixel_frequency,7d,0,2.8,3,2.9,0
